ID,Dictionary
0,ATX
1,Micro ATX
2,Mini ITX
3,EATX
4,Mini DTX
5,SSI CEB
6,SSI EEB
7,Thin Mini ITX
8,HPTX
9,XL ATX
10,Flex ATX
11,AT
