ID,Dictionary
0,ATX Mid Tower
1,ATX Full Tower
2,MicroATX Mini Tower
3,Mini ITX Desktop
4,MicroATX Mid Tower
5,Mini ITX Tower
6,HTPC
7,ATX Desktop
8,MicroATX Slim
9,MicroATX Desktop
10,ATX Mini Tower
11,ATX Test Bench
12,Mini ITX Test Bench
14,ATX
15,SFX12V
16,ATX12V / EPS12V
17,ATX12V
18,ATX / BTX
19,Flex ATX
20,Micro ATX
21,TFX12V
22,Mini ITX
