ID,Dictionary
255,Radeon R5 230
256,FirePro 2460
257,GeForce GTX 275
258,Radeon HD 5570
259,Radeon HD 6670
260,Radeon HD 3450
261,FirePro V5800
262,FirePro V5900
263,FirePro V3900
264,Quadro 400
265,Radeon R7 260
266,Quadro K2000D
267,Radeon R9 285
268,FirePro W8100
269,FirePro V7900
270,FirePro W8000
271,GeForce 9600 GSO
272,Radeon HD 6990
273,GeForce GT 440
274,Radeon HD 5830
275,Radeon HD 6790
276,GeForce GTX 580 X2
277,GeForce GTX 560 Ti 448
278,GeForce GTX 560 SE
279,Radeon HD 7870 XT
280,Radeon R7 250X
281,FirePro S9050
282,FirePro V8750
283,FirePro V5700
284,Radeon HD 4650
285,GeForce GTX 460 X2
286,GeForce GTX 560 Ti X2
287,FirePro S9000
288,Radeon HD 4830
289,Radeon HD 4670 X2
290,Radeon HD 6870 X2
291,FirePro V9800
292,FirePro W4300
293,Radeon HD 5870 X2
294,FirePro S10000
295,Quadro K4000M
297,AMD X570
298,AMD B550
299,AMD B450
300,Intel Z490
301,Intel B560
302,Intel Z590
303,AMD TRX40
304,Intel Z390
305,AMD A320
306,Intel B460
307,Intel H510
308,Intel G41
309,Intel H410
310,Intel H310
311,AMD A520
312,Intel B365
313,AMD X399
314,AMD X470
315,Intel Z77
316,Intel H110
317,Intel C612
318,Intel B360
319,Intel H570
320,Intel X299
321,Intel Z370
322,AMD 970
323,Intel Z270
324,Intel Z97
325,Intel H370
326,AMD B350
327,Intel H470
328,Intel Z170
329,Intel B85
330,Intel H77
331,Intel X99
332,Intel H61
333,Intel C246
334,AMD 760G
335,Intel B250
336,Intel C236
337,Intel B43
338,AMD X370
339,Intel H97
340,Intel Q45
341,Intel B75
342,Intel H81
343,AMD 990FX
344,Intel C242
345,Intel X79
346,Intel Z87
347,AMD A68H
348,Intel Q77
349,Intel C224
350,Intel G31
351,Intel B150
352,Intel P43
353,Intel H170
354,AMD AM1
355,AMD 740G
356,Intel X58
357,Intel H55
358,AMD A88X
359,Intel C602
360,Intel H270
361,Intel Q67
362,AMD 990X
363,Intel C232
364,Intel Z68
365,Intel Q87
366,Intel H67
367,Intel C222
368,Intel P55
369,Intel P45
370,Intel Q57
371,AMD 880G
372,NVIDIA GeForce 7050
373,Intel P67
374,Intel G45
375,Intel Q470
376,NVIDIA GeForce 7025
377,AMD SR5690
378,Intel Q370
379,AMD A55
380,AMD A70M
381,NVIDIA GeForce 7025 / nForce 630a
382,Intel H57
383,CPU Integrated
384,Intel C602J
385,Intel Q270
386,AMD A78
387,Intel H87
388,Intel C204
389,Intel Z75
390,AMD A75
391,Intel 5520
392,Intel P35
393,Intel C606
394,Intel Q170
395,AMD A68M
396,Intel NM10
397,AMD 890FX
398,AMD 785G
399,AMD A85X
400,NVIDIA GeForce 6100
401,AMD 790X
402,Intel G33
403,AMD 890GX
404,Intel 3450 / NVIDIA NF200
405,NVIDIA nForce 750i SLI
406,Intel G43
407,AMD A58
408,NVIDIA GeForce 6150SE
409,NVIDIA nForce 790i SLI
410,AMD 790FX
411,AMD 870
412,Intel C226
413,AMD 770
414,AMD 790GX
415,NVIDIA GeForce 9300
416,NVIDIA nForce 430 MCP
417,NVIDIA nForce 980a
418,AMD 690G
419,NVIDIA GeForce 8200
420,AMD 780G
421,NVIDIA nForce 980a SLI
422,AMD Hudson M1
423,Intel B65
424,NVIDIA nForce 750a
425,AMD 780L
426,NVIDIA GeForce 6150
427,NVIDIA nForce 720D
428,AMD Hudson D1
429,VIA P4M890
430,NVIDIA nForce 750a SLI
431,AMD 880GX
432,NVIDIA ION
433,NVIDIA nForce 590 SLI MCP
434,Intel ICH8M
435,Intel C206
436,Intel NM70
