ID,Dictionary
0,288-pin DIMM
1,240-pin DIMM
2,260-pin SODIMM
3,200-pin SODIMM
4,204-pin SODIMM
5,184-pin DIMM
7,ATX
8,SFX
9,BTX
10,Flex ATX
11,Micro ATX
12,TFX
13,Mini ITX
