ID,Dictionary
0,USB 3.2 Gen 2 Type-C
1,USB 3.2 Gen 1 Type-A
2,USB 3.2 Gen 1 Type-C
3,USB 2.0 Type-A
4,USB 3.2 Gen 2x2 Type-C
