ID,Dictionary
0,1 PCIe 8-pin
1,1 PCIe 6-pin
2,1 PCIe 8-pin + 1 PCIe 6-pin
3,1 PCIe 12-pin
4,3 PCIe 8-pin
5,2 PCIe 8-pin
6,2 PCIe 8-pin + 1 PCIe 6-pin
7,2 PCIe 6-pin
8,4 PCIe 8-pin
