ID,Dictionary
0,DDR4
1,DDR2
2,DDR3
3,DDR
5,GDDR6
6,GDDR5
7,GDDR6X
8,HBM2
9,GDDR5X
10,GDDR3
11,HBM
12,GDDR2
14,"DDR2
DDR3"
