PID,ProductType,ProductName,Manufacturer,Part #,Color
12671,Memory,G.Skill Trident Z 8 GB (2 x 4 GB) DDR4-4000 CL19 Memory (F4-4000C19D-8GTZ),43,F4-4000C19D-8GTZ,50
12672,Memory,Mushkin Redline 16 GB (2 x 8 GB) DDR4-2666 CL15 Memory (997200T),56,997200T,50
12673,Memory,Patriot Viper 3 8 GB (2 x 4 GB) DDR3-2400 CL10 Memory (PV38G240C0KRD),48,PV38G240C0KRD,50
12674,Memory,Team Vulcan 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (TLYED316G1600HC9DC01),44,TLYED316G1600HC9DC01,0
12675,Memory,G.Skill Ripjaws V Series 32 GB (4 x 8 GB) DDR4-2800 CL16 Memory (F4-2800C16Q-32GVR),43,F4-2800C16Q-32GVR,9
12676,Memory,Kingston Impact 8 GB (1 x 8 GB) DDR4-2400 CL14 Memory (HX424S14IB/8),46,HX424S14IB/8,2
12677,Memory,Mushkin Redline 8 GB (1 x 8 GB) DDR4-2800 CL15 Memory (992208T),56,992208T,50
12678,Memory,Mushkin Essentials 4 GB (1 x 4 GB) DDR3-1866 CL13 Memory (992217),56,992217,16
12679,Memory,Mushkin Blackline 32 GB (4 x 8 GB) DDR4-2133 CL12 Memory (994197T),56,994197T,2
12680,Memory,Mushkin Blackline 16 GB (2 x 8 GB) DDR4-2133 CL12 Memory (997197T),56,997197T,2
12681,Memory,Mushkin Essentials 16 GB (2 x 8 GB) DDR3-1866 CL13 Memory (997218),56,997218,16
12682,Memory,Corsair Vengeance Pro 16 GB (2 x 8 GB) DDR3-1866 CL11 Memory (CMY16GX3M2C1866C10),29,CMY16GX3M2C1866C10,2
12683,Memory,Corsair Vengeance Pro 8 GB (2 x 4 GB) DDR3-1866 CL11 Memory (CMY8GX3M2C1866C10),29,CMY8GX3M2C1866C10,8
12684,Memory,GeIL SUPER LUCE 16 GB (2 x 8 GB) DDR4-2400 CL15 Memory (GLW416GB2400C15DC),55,GLW416GB2400C15DC,3
12685,Memory,GeIL SUPER LUCE 32 GB (2 x 16 GB) DDR4-2400 CL14 Memory (GLW432GB2400C14DC),55,GLW432GB2400C14DC,3
