PID,ProductType,ProductName,Manufacturer,Part #,Color
0,Motherboard,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4 Motherboard (TUF GAMING X570-PLUS (WI-FI)),0,"TUF GAMING X570-PLUS (WI-FI)
90MB1170-MVAAY0
90MB1170-M0EAY0",0
1,Motherboard,Asus ROG STRIX B550-F GAMING (WI-FI) ATX AM4 Motherboard (ROG STRIX B550-F GAMING (WI-FI)),0,"ROG STRIX B550-F GAMING (WI-FI)
STRIX B550-F GAMING (WI-FI)
90MB14F0-M0EAY0",1
2,Motherboard,MSI MAG B550 TOMAHAWK ATX AM4 Motherboard (MAG B550 TOMAHAWK),1,"MAG B550 TOMAHAWK
7C91-001R
B550TMHWK",2
3,Motherboard,MSI B550-A PRO ATX AM4 Motherboard (B550-A PRO),1,"B550-A PRO
7C56-002R",2
4,Motherboard,ASRock B450M Pro4 Micro ATX AM4 Motherboard (B450M PRO4),2,"B450M PRO4
90-MXB8F0-A0UAYZ",2
5,Motherboard,Asus ROG STRIX B550-A GAMING ATX AM4 Motherboard (ROG STRIX B550-A GAMING),0,"ROG STRIX B550-A GAMING
90MB15J0-M0EAY0",3
6,Motherboard,Asus ROG Strix X570-E Gaming ATX AM4 Motherboard (ROG Strix X570-E Gaming),0,"ROG Strix X570-E Gaming
90MB1150-M0EAY0",1
7,Motherboard,MSI Z490-A PRO ATX LGA1200 Motherboard (Z490-A PRO),1,Z490-A PRO,2
8,Motherboard,Asus PRIME B560-PLUS ATX LGA1200 Motherboard (PRIME B560-PLUS),0,"PRIME B560-PLUS
90MB16N0-M0EAY0",4
9,Motherboard,Asus ROG STRIX B450-F GAMING ATX AM4 Motherboard (STRIX B450-F GAMING),0,"STRIX B450-F GAMING
ROG STRIX B450-F GAMING
90MB0YS0-M0EAY0",1
10,Motherboard,MSI B450 TOMAHAWK MAX ATX AM4 Motherboard (B450 TOMAHAWK MAX),1,B450 TOMAHAWK MAX,1
11,Motherboard,MSI B550M PRO-VDH WIFI Micro ATX AM4 Motherboard (B550M PRO-VDH WIFI),1,"B550M PRO-VDH WIFI
7C95-001R",1
12,Motherboard,Asus ROG Crosshair VIII Dark Hero ATX AM4 Motherboard (ROG Crosshair VIII Dark Hero),0,"ROG Crosshair VIII Dark Hero
Crosshair VIII Dark Hero
90MB1760-M0EAY0",2
13,Motherboard,MSI MAG X570 TOMAHAWK WIFI ATX AM4 Motherboard (MAG X570 TOMAHAWK WIFI),1,"MAG X570 TOMAHAWK WIFI
911-7C84-001
X570 TOMAHAWK WIFI
7C84-001R",1
14,Motherboard,MSI MPG Z490 GAMING PLUS ATX LGA1200 Motherboard (MPG Z490 GAMING PLUS),1,"MPG Z490 GAMING PLUS
7C75-007R",2
15,Motherboard,Gigabyte B450M DS3H V2 Micro ATX AM4 Motherboard (B450M DS3H V2),3,B450M DS3H V2,1
16,Motherboard,Asus ROG STRIX B450-F GAMING II ATX AM4 Motherboard (ROG STRIX B450-F GAMING II),0,"ROG STRIX B450-F GAMING II
90MB15V0-M0EAY0",1
17,Motherboard,MSI MPG B550 GAMING EDGE WIFI ATX AM4 Motherboard (MPG B550 GAMING EDGE WIFI),1,"MPG B550 GAMING EDGE WIFI
7C91-008R",2
18,Motherboard,MSI MPG Z490 GAMING EDGE WIFI ATX LGA1200 Motherboard (MPG Z490 GAMING EDGE WIFI),1,"MPG Z490 GAMING EDGE WIFI
7C79-005R",2
19,Motherboard,MSI MPG B550 GAMING PLUS ATX AM4 Motherboard (MPG B550 GAMING PLUS),1,"MPG B550 GAMING PLUS
7C56-003R",1
20,Motherboard,Asus ROG STRIX Z590-E GAMING WIFI ATX LGA1200 Motherboard (ROG STRIX Z590-E GAMING WIFI),0,"ROG STRIX Z590-E GAMING WIFI
90MB1640-M0EAY0",1
21,Motherboard,Asus ROG Strix X570-I Gaming Mini ITX AM4 Motherboard (ROG Strix X570-I Gaming),0,"ROG Strix X570-I Gaming
90MB1140-M0EAY0",1
22,Motherboard,MSI Creator TRX40 EATX sTRX4 Motherboard (Creator TRX40),1,"Creator TRX40
7C59-003R
911-7C59-003",2
23,Motherboard,MSI Z390-A PRO ATX LGA1151 Motherboard (Z390-A PRO),1,"Z390-A PRO
7B98-001R
911-7B98-001",5
24,Motherboard,ASRock B560M-HDV Micro ATX LGA1200 Motherboard (B560M-HDV),2,"B560M-HDV
90-MXBF50-A0UAYZ",4
25,Motherboard,Asus ROG STRIX B550-F GAMING ATX AM4 Motherboard (ROG STRIX B550-F GAMING),0,"ROG STRIX B550-F GAMING
STRIX B550-F GAMING
90MB14S0-M0EAY0",1
26,Motherboard,Asus TUF GAMING B560M-PLUS WIFI Micro ATX LGA1200 Motherboard (TUF GAMING B560M-PLUS WIFI),0,"TUF GAMING B560M-PLUS WIFI
90MB1770-M0EAY0",6
27,Motherboard,ASRock B560M Pro4 Micro ATX LGA1200 Motherboard (B560M PRO4),2,"B560M PRO4
90-MXBEL0-A0UAYZ",4
28,Motherboard,MSI MPG X570 GAMING EDGE WIFI ATX AM4 Motherboard (MPG X570 GAMING EDGE WIFI),1,"MPG X570 GAMING EDGE WIFI
7C37-001R
911-7C37-001",2
29,Motherboard,Gigabyte X570 AORUS ELITE WIFI ATX AM4 Motherboard (X570 AORUS ELITE WIFI),3,X570 AORUS ELITE WIFI,1
30,Motherboard,Asus TUF GAMING B550-PLUS (WI-FI) ATX AM4 Motherboard (TUF GAMING B550-PLUS (WI-FI)),0,"TUF GAMING B550-PLUS (WI-FI)
90MB15D0-M0EAY0",1
31,Motherboard,Gigabyte B550M DS3H Micro ATX AM4 Motherboard (B550M DS3H),3,"B550M DS3H
GA-B550M-DS3H",0
32,Motherboard,Asus PRIME A320M-K Micro ATX AM4 Motherboard (PRIME A320M-K),0,"PRIME A320M-K
90MB0TV0-M0EAY0",3
33,Motherboard,Asus ROG STRIX Z490-E GAMING ATX LGA1200 Motherboard (ROG STRIX Z490-E GAMING),0,"ROG STRIX Z490-E GAMING
90MB12P0-M0EAY0",1
34,Motherboard,Asus PRIME B560M-A Micro ATX LGA1200 Motherboard (PRIME B560M-A),0,"PRIME B560M-A
90MB17A0-M0EAY0",4
35,Motherboard,Gigabyte B450 I AORUS PRO WIFI Mini ITX AM4 Motherboard (B450 I AORUS PRO WIFI),3,"B450 I AORUS PRO WIFI
GA-B450I-AORUS-PRO-WIFI",2
36,Motherboard,Gigabyte B550I AORUS PRO AX Mini ITX AM4 Motherboard (B550I AORUS PRO AX),3,B550I AORUS PRO AX,2
37,Motherboard,Asus PRIME X570-PRO ATX AM4 Motherboard (PRIME X570-PRO),0,"PRIME X570-PRO
90MB11B0-M0EAY0",3
38,Motherboard,Asus TUF GAMING X570-PRO (WI-FI) ATX AM4 Motherboard (TUF GAMING X570-PRO (WI-FI)),0,"TUF GAMING X570-PRO (WI-FI)
90MB15H0-M0EAY0",0
39,Motherboard,MSI MAG B560 TOMAHAWK WIFI ATX LGA1200 Motherboard (MAG B560 TOMAHAWK WIFI),1,"MAG B560 TOMAHAWK WIFI
7D15-005R",1
40,Motherboard,ASRock B550M-ITX/ac Mini ITX AM4 Motherboard (B550M-ITX/ac),2,"B550M-ITX/ac
90-MXBDH0-A0UAYZ",4
41,Motherboard,NZXT N7 B550 ATX AM4 Motherboard (N7-B55XT-W1),4,N7-B55XT-W1,7
42,Motherboard,Asus TUF Gaming Z590-PLUS WIFI ATX LGA1200 Motherboard (TUF Gaming Z590-PLUS WIFI),0,"TUF Gaming Z590-PLUS WIFI
90MB16C0-M0EAY0",4
43,Motherboard,Asus ROG ZENITH II EXTREME ALPHA EATX sTRX4 Motherboard (ROG ZENITH II EXTREME ALPHA),0,"ROG ZENITH II EXTREME ALPHA
ZENITH II EXTREME ALPHA
90MB14K0-M0EAY0",2
44,Motherboard,MSI MPG Z390 GAMING PLUS ATX LGA1151 Motherboard (MPG Z390 GAMING PLUS),1,"MPG Z390 GAMING PLUS
Z390GAMINGP
Z390 GAMING PLUS
7B51-001R
911-7B51-007",8
45,Motherboard,Asus PRIME Z390-A ATX LGA1151 Motherboard (PRIME Z390-A),0,"PRIME Z390-A
90MB0YT0-M0EAY0",4
46,Motherboard,Asus TUF GAMING B550M-PLUS (WI-FI) Micro ATX AM4 Motherboard (TUF GAMING B550M-PLUS (WI-FI)),0,TUF GAMING B550M-PLUS (WI-FI),1
47,Motherboard,Asus ROG MAXIMUS XIII HERO ATX LGA1200 Motherboard (ROG MAXIMUS XIII HERO),0,"ROG MAXIMUS XIII HERO
90MB15X0-M0EAY0",1
48,Motherboard,Gigabyte X570 AORUS ELITE ATX AM4 Motherboard (X570 AORUS ELITE),3,"X570 AORUS ELITE
GA-X570-AORUS-ELITE",2
49,Motherboard,ASRock B550M Pro4 Micro ATX AM4 Motherboard (B550M Pro4),2,"B550M Pro4
90-MXBDK0-A0UAYZ",4
50,Motherboard,Asus ROG Crosshair VIII Hero (WI-FI) ATX AM4 Motherboard (ROG Crosshair VIII Hero (WI-FI)),0,"ROG Crosshair VIII Hero (WI-FI)
CROSSHAIR VIII HERO WI-FI
90MB10T0-M0EAY0",1
51,Motherboard,Asus ROG STRIX B550-I GAMING Mini ITX AM4 Motherboard (ROG STRIX B550-I GAMING),0,"ROG STRIX B550-I GAMING
STRIX B550-I GAMING
90MB14L0-M0EAY0",1
52,Motherboard,Gigabyte B560M DS3H Micro ATX LGA1200 Motherboard (B560M DS3H),3,"B560M DS3H
GA-B560M-DS3H",1
53,Motherboard,Gigabyte B450 AORUS PRO WIFI (rev. 1.0) ATX AM4 Motherboard (B450 AORUS PRO WIFI (rev. 1.0)),3,"B450 AORUS PRO WIFI (rev. 1.0)
B450 AORUS PRO WIFI",2
54,Motherboard,Gigabyte X570 I AORUS PRO WIFI Mini ITX AM4 Motherboard (X570 I AORUS PRO WIFI),3,"X570 I AORUS PRO WIFI
GA-X570I-AORUSPRO-WIFI",2
55,Motherboard,Gigabyte Z390 AORUS PRO WIFI ATX LGA1151 Motherboard (Z390 AORUS PRO WIFI),3,"Z390 AORUS PRO WIFI
GA-Z390-AORUS-PRO-WIFI",2
56,Motherboard,Asus PRIME Z590-P ATX LGA1200 Motherboard (PRIME Z590-P),0,"PRIME Z590-P
90MB16I0-M0EAY0",4
57,Motherboard,MSI MPG X570 GAMING PLUS ATX AM4 Motherboard (MPG X570 GAMING PLUS),1,"MPG X570 GAMING PLUS
X570GAMINGPLUS
7C37-004R
911-7C37-004",8
58,Motherboard,ASRock B450 Steel Legend ATX AM4 Motherboard (B450 Steel Legend),2,"B450 Steel Legend
90-MXBA00-A0UAYZ",2
59,Motherboard,MSI MAG B550M MORTAR WIFI Micro ATX AM4 Motherboard (MAG B550M MORTAR WIFI),1,"MAG B550M MORTAR WIFI
7C94-001R",4
60,Motherboard,Asus TUF GAMING B450M-PLUS II Micro ATX AM4 Motherboard (TUF GAMING B450M-PLUS II),0,"TUF GAMING B450M-PLUS II
90MB1620-M0EAY0",1
61,Motherboard,Gigabyte B550 AORUS ELITE V2 ATX AM4 Motherboard (B550 AORUS ELITE V2),3,B550 AORUS ELITE V2,1
62,Motherboard,Gigabyte X570 AORUS MASTER ATX AM4 Motherboard (X570 AORUS MASTER),3,"X570 AORUS MASTER
GA-X570-AORUS-MASTER",2
63,Motherboard,MSI B460M PRO-VDH WIFI Micro ATX LGA1200 Motherboard (B460M PRO-VDH WIFI),1,"B460M PRO-VDH WIFI
7C83-003R",1
64,Motherboard,NZXT N7 B550 ATX AM4 Motherboard (N7-B55XT-B1),4,N7-B55XT-B1,1
65,Motherboard,Asus ROG Crosshair VIII Formula ATX AM4 Motherboard (ROG Crosshair VIII Formula),0,"ROG Crosshair VIII Formula
90MB10Z0-M0EAY0",1
66,Motherboard,MSI B450-A PRO MAX ATX AM4 Motherboard (B450-A PRO MAX),1,"B450-A PRO MAX
7B86-022R",5
67,Motherboard,Asus ROG STRIX B560-A GAMING WIFI ATX LGA1200 Motherboard (ROG STRIX B560-A GAMING WIFI),0,"ROG STRIX B560-A GAMING WIFI
STRIX B560-A GAMING WIFI
90MB16V0-M0EAY0",2
68,Motherboard,Gigabyte GA-A320M-S2H Micro ATX AM4 Motherboard (GA-A320M-S2H),3,GA-A320M-S2H,1
69,Motherboard,MSI B450M PRO-VDH MAX Micro ATX AM4 Motherboard (B450M PRO-VDH MAX),1,"B450M PRO-VDH MAX
7A38-043R
B450PVDHMAX",2
70,Motherboard,ASRock H510M-ITX/ac Mini ITX LGA1200 Motherboard (H510M-ITX/ac),2,"H510M-ITX/ac
90-MXBF30-A0UAYZ",4
71,Motherboard,MSI MPG B560I GAMING EDGE WIFI Mini ITX LGA1200 Motherboard (MPG B560I GAMING EDGE WIFI),1,"MPG B560I GAMING EDGE WIFI
7D19-001R",1
72,Motherboard,ASRock Fatal1ty B450 Gaming-ITX/ac Mini ITX AM4 Motherboard (B450 GAMING-ITX/AC),2,"B450 GAMING-ITX/AC
Fatal1ty B450 Gaming-ITX/ac
90-MXB870-A0UAYZ",2
73,Motherboard,Gigabyte B450M DS3H Micro ATX AM4 Motherboard (B450M DS3H),3,"B450M DS3H
GA-B450M-DS3H",2
74,Motherboard,Asus ROG STRIX Z590-A GAMING WIFI ATX LGA1200 Motherboard (ROG STRIX Z590-A GAMING WIFI),0,"ROG STRIX Z590-A GAMING WIFI
90MB1660-M0EAY0",4
75,Motherboard,MSI G41M4-F Micro ATX LGA775 Motherboard (G41M4-F),1,G41M4-F,9
76,Motherboard,Asus PRIME Z390-P ATX LGA1151 Motherboard (PRIME Z390-P),0,"PRIME Z390-P
90MB0XX0-M0EAY0",4
77,Motherboard,Asus PRIME B550M-A (WI-FI) Micro ATX AM4 Motherboard (PRIME B550M-A (WI-FI)),0,"PRIME B550M-A (WI-FI)
90MB14D0-M0EAY0",3
78,Motherboard,Gigabyte B550 VISION D-P ATX AM4 Motherboard (B550 VISION D-P),3,B550 VISION D-P,7
79,Motherboard,Gigabyte B550 AORUS ELITE AX V2 ATX AM4 Motherboard (B550AORUS ELITE AXV2),3,B550AORUS ELITE AXV2,2
80,Motherboard,ASRock B560 Pro4 ATX LGA1200 Motherboard (B560 Pro4),2,"B560 Pro4
90-MXBF10-A0UAYZ",4
81,Motherboard,MSI MPG B550I GAMING EDGE MAX WIFI Mini ITX AM4 Motherboard (MPG B550I GAMING EDGE MAX WIFI),1,MPG B550I GAMING EDGE MAX WIFI,1
82,Motherboard,ASRock B450M Steel Legend Micro ATX AM4 Motherboard (B450M Steel Legend),2,"B450M Steel Legend
90-MXB9Y0-A0UAYZ",3
83,Motherboard,Asus ROG STRIX B550-E GAMING ATX AM4 Motherboard (ROG STRIX B550-E GAMING),0,"ROG STRIX B550-E GAMING
STRIX B550-E GAMING
90MB1470-M0EAY0",1
84,Motherboard,ASRock B550 Phantom Gaming 4 ATX AM4 Motherboard (B550 Phantom Gaming 4),2,"B550 Phantom Gaming 4
90-MXBCY0-A0UAYZ",4
85,Motherboard,Asus PRIME H410M-E Micro ATX LGA1200 Motherboard (PRIME H410M-E),0,"PRIME H410M-E
90MB13H0-M0EAY0",1
86,Motherboard,MSI MEG X570 UNIFY ATX AM4 Motherboard (MEG X570 UNIFY),1,"MEG X570 UNIFY
X570UNIFY
7C35-010R
911-7C35-009",1
87,Motherboard,Gigabyte B450 AORUS ELITE V2 ATX AM4 Motherboard (B450 AORUS ELITE V2),3,B450 AORUS ELITE V2,1
88,Motherboard,MSI A320M-A PRO Micro ATX AM4 Motherboard (A320M-A PRO),1,"A320M-A PRO
7C51-001R",1
89,Motherboard,MSI MPG B550 GAMING CARBON WIFI ATX AM4 Motherboard (MPG B550 GAMING CARBON WIFI),1,"MPG B550 GAMING CARBON WIFI
7C91-002R
B550GCARBWIFI",2
90,Motherboard,Asus ROG Strix X570-F Gaming ATX AM4 Motherboard (ROG Strix X570-F Gaming),0,"ROG Strix X570-F Gaming
STRIX X570-F GAMING
90MB1160-M0EAY0",1
91,Motherboard,Asus TUF GAMING B450-PLUS II ATX AM4 Motherboard (TUF GAMING B450-PLUS II),0,"TUF GAMING B450-PLUS II
90MB1650-M0EAY0",1
92,Motherboard,MSI MAG Z490 TOMAHAWK ATX LGA1200 Motherboard (MAG Z490 TOMAHAWK),1,"MAG Z490 TOMAHAWK
7C80-004R",2
93,Motherboard,Gigabyte B550 AORUS PRO AC ATX AM4 Motherboard (B550 AORUS PRO AC),3,B550 AORUS PRO AC,10
94,Motherboard,MSI B450M BAZOOKA MAX WIFI Micro ATX AM4 Motherboard (B450M BAZOOKA MAX WIFI),1,B450M BAZOOKA MAX WIFI,2
95,Motherboard,Gigabyte Z390 UD ATX LGA1151 Motherboard (Z390 UD),3,"Z390 UD
GA-Z390-UD",2
96,Motherboard,MSI B560M-A PRO Micro ATX LGA1200 Motherboard (B560M-A PRO),1,"B560M-A PRO
7D20-002R",1
97,Motherboard,Asus TUF GAMING B550-PLUS ATX AM4 Motherboard (TUF GAMING B550-PLUS),0,"TUF GAMING B550-PLUS
90MB14G0-M0EAY0",1
98,Motherboard,Gigabyte B550M AORUS PRO-P Micro ATX AM4 Motherboard (B550M AORUS PRO-P),3,B550M AORUS PRO-P,1
99,Motherboard,Gigabyte B450 AORUS M Micro ATX AM4 Motherboard (B450 AORUS M),3,"B450 AORUS M
GA-B450-AORUS-M",11
100,Motherboard,Gigabyte X570 AORUS XTREME EATX AM4 Motherboard (X570 AORUS XTREME),3,X570 AORUS XTREME,2
101,Motherboard,MSI Z590 PRO WIFI ATX LGA1200 Motherboard (Z590 PRO WIFI),1,"Z590 PRO WIFI
7D09-001R",1
102,Motherboard,Asus PRIME B460M-A Micro ATX LGA1200 Motherboard (PRIME B460M-A),0,"PRIME B460M-A
90MB13E0-M0EAY0",4
103,Motherboard,ASRock H310CM-HDV Micro ATX LGA1151 Motherboard (H310CM-HDV),2,H310CM-HDV,1
104,Motherboard,Gigabyte B550 GAMING X ATX AM4 Motherboard (B550 GAMING X),3,B550 GAMING X,2
105,Motherboard,MSI B560M PRO-VDH WIFI Micro ATX LGA1200 Motherboard (B560M PRO-VDH WIFI),1,"B560M PRO-VDH WIFI
7D18-001R",1
106,Motherboard,ASRock X570 Phantom Gaming 4 ATX AM4 Motherboard (X570 Phantom Gaming 4),2,"X570 Phantom Gaming 4
90-MXBAU0-A0UAYZ",2
107,Motherboard,Gigabyte A520I AC Mini ITX AM4 Motherboard (A520I AC),3,"A520I AC
GA-A520I AC",1
108,Motherboard,Gigabyte Z490 VISION G ATX LGA1200 Motherboard (Z490 VISION G),3,"Z490 VISION G
GAZ49VSG-00-G",7
109,Motherboard,MSI B450 TOMAHAWK MAX II ATX AM4 Motherboard (B450 TOMAHAWK MAX II),1,"B450 TOMAHAWK MAX II
7C02-014R",2
110,Motherboard,ASRock B365M Pro4 Micro ATX LGA1151 Motherboard (B365M Pro4),2,B365M Pro4,2
111,Motherboard,MSI Z590-A PRO ATX LGA1200 Motherboard (Z590-A PRO),1,"Z590-A PRO
7D09-003R",1
112,Motherboard,MSI MPG X570 GAMING PRO CARBON WIFI ATX AM4 Motherboard (MPG X570 GAMING PRO CARBON WIFI),1,"MPG X570 GAMING PRO CARBON WIFI
X570GPCARBWIFI",2
113,Motherboard,ASRock B550M Steel Legend Micro ATX AM4 Motherboard (B550M Steel Legend),2,"B550M Steel Legend
90-MXBCU0-A0UAYZ",4
114,Motherboard,MSI H510M-A PRO Micro ATX LGA1200 Motherboard (H510M-A PRO),1,"H510M-A PRO
7D22-009R",1
115,Motherboard,Gigabyte A520 AORUS ELITE ATX AM4 Motherboard (A520 AORUS ELITE),3,"A520 AORUS ELITE
GA-A520-AORUS-ELITE
A520-AORUS-ELITE",10
116,Motherboard,MSI B450 GAMING PRO CARBON MAX WIFI ATX AM4 Motherboard (B450 GAMING PRO CARBON MAX WIFI),1,B450 GAMING PRO CARBON MAX WIFI,1
117,Motherboard,Asus ROG Crosshair VIII Hero ATX AM4 Motherboard (ROG Crosshair VIII Hero),0,"ROG Crosshair VIII Hero
90MB1100-M0EAY0",1
118,Motherboard,Asus Prime B450M-A II Micro ATX AM4 Motherboard (Prime B450M-A II),0,Prime B450M-A II,
119,Motherboard,MSI B450M PRO-M2 MAX Micro ATX AM4 Motherboard (B450M PRO-M2 MAX),1,"B450M PRO-M2 MAX
7B84-017R
B450MPM2MAX",1
120,Motherboard,Gigabyte X570S AORUS MASTER ATX AM4 Motherboard (X570S AORUS MASTER),3,X570S AORUS MASTER,2
121,Motherboard,Gigabyte B365M DS3H Micro ATX LGA1151 Motherboard (B365M DS3H),3,B365M DS3H,1
122,Motherboard,Asus PRIME Z590-A ATX LGA1200 Motherboard (PRIME Z590-A),0,"PRIME Z590-A
90MB16D0-M0EAY0",4
123,Motherboard,Asus PRIME B550-PLUS ATX AM4 Motherboard (PRIME B550-PLUS),0,"PRIME B550-PLUS
90MB14U0-M0EAY0",3
124,Motherboard,Gigabyte Z590 AORUS ELITE AX ATX LGA1200 Motherboard (Z590 AORUS ELITE AX),3,"Z590 AORUS ELITE AX
GA-Z590-AORUS-ELITE-AX",1
125,Motherboard,MSI B450 Gaming Plus MAX ATX AM4 Motherboard (B450 Gaming Plus MAX),1,"B450 Gaming Plus MAX
B450-GAMING-PLUS-MAX
7B86-016R",12
126,Motherboard,MSI B560M PRO-VDH Micro ATX LGA1200 Motherboard (B560M PRO-VDH),1,"B560M PRO-VDH
7D18-002R",1
127,Motherboard,MSI H510I PRO WIFI Mini ITX LGA1200 Motherboard (H510I PRO WIFI),1,"H510I PRO WIFI
7D16-002R",2
128,Motherboard,MSI B450M MORTAR MAX Micro ATX AM4 Motherboard (B450M MORTAR MAX),1,B450M MORTAR MAX,1
129,Motherboard,MSI MAG B550M BAZOOKA Micro ATX AM4 Motherboard (MAG B550M BAZOOKA),1,"MAG B550M BAZOOKA
7C94-005R",2
130,Motherboard,Gigabyte B550 AORUS ELITE ATX AM4 Motherboard (B550 AORUS ELITE),3,B550 AORUS ELITE,2
131,Motherboard,ASRock X399 Taichi ATX sTR4 Motherboard (X399 Taichi),2,"X399 Taichi
90-MXB5R0-A0UAYZ",2
132,Motherboard,MSI X470 GAMING PLUS MAX ATX AM4 Motherboard (X470 GAMING PLUS MAX),1,"X470 GAMING PLUS MAX
7B79-017R",1
133,Motherboard,ASRock B450 Pro4 ATX AM4 Motherboard (B450 Pro4),2,"B450 Pro4
90-MXB8B0-A0UAYZ",2
134,Motherboard,Asus ROG STRIX Z590-I GAMING WIFI Mini ITX LGA1200 Motherboard (ROG STRIX Z590-I GAMING WIFI),0,"ROG STRIX Z590-I GAMING WIFI
90MB1680-M0EAY0",1
135,Motherboard,ASRock B365 Phantom Gaming 4 ATX LGA1151 Motherboard (B365 Phantom Gaming 4),2,"B365 Phantom Gaming 4
90-MXB9U0-A0UAYZ",8
136,Motherboard,Gigabyte A520M S2H Micro ATX AM4 Motherboard (A520M S2H),3,"A520M S2H
GA-A520M-S2H",1
137,Motherboard,ASRock X570 Phantom Gaming-ITX/TB3 Mini ITX AM4 Motherboard (X570 PHANTOM GAMING-ITX/TB3),2,"X570 PHANTOM GAMING-ITX/TB3
90-MXBB10-A0UAYZ",2
138,Motherboard,Asus PRIME X570-P ATX AM4 Motherboard (PRIME X570-P),0,PRIME X570-P,3
139,Motherboard,Gigabyte X570 AORUS PRO WIFI ATX AM4 Motherboard (X570 AORUS PRO WIFI),3,X570 AORUS PRO WIFI,2
140,Motherboard,ASRock B550 Phantom Gaming 4/ac ATX AM4 Motherboard (B550 Phantom Gaming 4/ac),2,"B550 Phantom Gaming 4/ac
90-MXBDZ0-A0UAYZ",4
141,Motherboard,Asus ROG STRIX Z390-E GAMING ATX LGA1151 Motherboard (ROG STRIX Z390-E GAMING),0,"ROG STRIX Z390-E GAMING
90MB0YF0-M0EAY1",1
142,Motherboard,ASRock B460M Pro4 Micro ATX LGA1200 Motherboard (B460M Pro4),2,"B460M Pro4
90-MXBCV0-A0UAYZ",2
143,Motherboard,NZXT N7 Z590 ATX LGA1200 Motherboard (N7-Z59XT-W1),4,N7-Z59XT-W1,13
144,Motherboard,Asus TUF GAMING X570-PLUS ATX AM4 Motherboard (TUF GAMING X570-PLUS),0,"TUF GAMING X570-PLUS
90MB1180-M0EAY0",0
145,Motherboard,Gigabyte B550 AORUS PRO V2 ATX AM4 Motherboard (B550 AORUS PRO V2),3,B550 AORUS PRO V2,1
146,Motherboard,Gigabyte B560M AORUS PRO Micro ATX LGA1200 Motherboard (B560M AORUS PRO),3,B560M AORUS PRO,1
147,Motherboard,Gigabyte X570 GAMING X ATX AM4 Motherboard (X570 GAMING X),3,"X570 GAMING X
GA-X570GAMING-X",2
148,Motherboard,MSI MAG X570S TOMAHAWK MAX WIFI ATX AM4 Motherboard (MAG X570S TOMAHAWK MAX WIFI),1,MAG X570S TOMAHAWK MAX WIFI,1
149,Motherboard,ASRock B560M Pro4/ac Micro ATX LGA1200 Motherboard (B560M Pro4/ac),2,B560M Pro4/ac,4
150,Motherboard,Gigabyte B460M DS3H Micro ATX LGA1200 Motherboard (B460M DS3H),3,"B460M DS3H
GAB46MS3H-00-G",2
151,Motherboard,Asus ROG Crosshair VIII Extreme EATX AM4 Motherboard (ROG CROSSHAIR VIII EXTREME),0,ROG CROSSHAIR VIII EXTREME,1
152,Motherboard,Gigabyte X570 AORUS ULTRA ATX AM4 Motherboard (X570 AORUS ULTRA),3,X570 AORUS ULTRA,2
153,Motherboard,Gigabyte X570S AERO G ATX AM4 Motherboard (X570S AERO G),3,X570S AERO G,3
154,Motherboard,MSI MAG B550M MORTAR Micro ATX AM4 Motherboard (MAG B550M MORTAR),1,"MAG B550M MORTAR
7C94-006R",2
155,Motherboard,ASRock B450M-HDV R4.0 Micro ATX AM4 Motherboard (B450M-HDV R4.0),2,B450M-HDV R4.0,3
156,Motherboard,Gigabyte Z590 UD AC ATX LGA1200 Motherboard (Z590 UD AC),3,Z590 UD AC,1
157,Motherboard,ASRock Z77 Extreme4 ATX LGA1155 Motherboard (Z77 Extreme4),2,"Z77 Extreme4
377895
90-MXGKX0-A0UAYZ
Z77-EXT4",5
158,Motherboard,Gigabyte B450 AORUS ELITE ATX AM4 Motherboard (B450 AORUS ELITE),3,"B450 AORUS ELITE
GA-B450-AORUS-ELITE",2
159,Motherboard,MSI MEG X570 ACE ATX AM4 Motherboard (MEG X570 ACE),1,"MEG X570 ACE
7C35-002R
X570ACE",2
160,Motherboard,ASRock B550 Phantom Gaming-ITX/ax Mini ITX AM4 Motherboard (B550 Phantom Gaming-ITX/ax),2,"B550 Phantom Gaming-ITX/ax
90-MXBD40-A0UAYZ",4
161,Motherboard,ASRock B550 Pro4 ATX AM4 Motherboard (B550 Pro4),2,"B550 Pro4
90-MXBCZ0-A0UAYZ",4
162,Motherboard,ASRock B560 Steel Legend ATX LGA1200 Motherboard (B560 Steel Legend),2,"B560 Steel Legend
90-MXBFD0-A0UAYZ",4
163,Motherboard,MSI MPG B550I GAMING EDGE WIFI Mini ITX AM4 Motherboard (MPG B550I GAMING EDGE WIFI),1,"MPG B550I GAMING EDGE WIFI
7C92-002R",2
164,Motherboard,Asus H110M-K Micro ATX LGA1151 Motherboard (H110M-K),0,"H110M-K
90MB0PH0-M0EAY0",0
165,Motherboard,Gigabyte Z590 VISION G ATX LGA1200 Motherboard (Z590 VISION G),3,"Z590 VISION G
GA-Z590 VISION G",3
166,Motherboard,MSI MPG Z390 GAMING EDGE AC ATX LGA1151 Motherboard (MPG Z390 GAMING EDGE AC),1,"MPG Z390 GAMING EDGE AC
Z390 GAMING EDGE AC
7B17-002R
Z390EDGEAC
911-7B17-002",2
