PID,Chipset,Memory Max,Memory Type,Memory Slots,PCI-E x16 Slots,PCI-E x8 Slots,PCI-E x4 Slots,PCI-E x1 Slots,PCI Slots,M.2 Slots,Mini-PCIe Slots,Half Mini-PCIe Slots,Mini-PCIe / mSATA Slots,mSATA Slots,Onboard Ethernet,SATA 6 Gb/s,Onboard Video,USB 2.0 Headers,USB 2.0 Headers (Single Port),USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Memory Speed Min,Memory Speed Max,Socket,Motherboard Form Factor,PATA 100,SATA 3 Gb/s,U.2,PATA 133,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s
22,303,256,0,8,4,0,0,0,0,"2242/2260/2280 M-key
2242/2260/2280/22110 M-key
2242/2260/2280 M-key
2230 E-key",0,0,0,0,"1 x 1 Gb/s
1 x 10 Gb/s",6,N,2,0,2,1,0,Y,Wi-Fi 6,Y,2133,4666,2,3,,,,,,,,
23,304,128,0,4,2,0,0,4,0,"2242/2260/2280/22110 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,0,0,N,,Y,2133,4400,3,0,,,,,,,,
24,301,64,0,2,1,0,0,2,0,"2260/2280 M-key (Intel Rocket Lake-based CPUs only)
2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,N,2400,5000,1,1,,,,,,,,
25,298,128,0,4,2,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,5000,0,0,,,,,,,,
26,301,128,0,4,2,0,0,1,0,"2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,N,2133,5000,1,1,,,,,,,,
27,301,128,0,4,2,0,0,1,0,"2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,1,0,N,,N,2400,4800,1,1,,,,,,,,
28,297,128,0,4,2,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,0,0,N,Wi-Fi 5,Y,1866,4400,0,0,,,,,,,,
29,297,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,1,0,N,Wi-Fi 5,Y,2133,4000,0,0,,,,,,,,
30,298,128,0,4,2,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,0,0,N,Wi-Fi 6,Y,2133,4800,0,0,,,,,,,,
31,298,128,0,4,2,0,0,1,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,1,0,0,N,,Y,2133,4600,0,1,,,,,,,,
32,305,32,0,2,1,0,0,2,0,2242/2260/2280 M-key,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,2133,3200,0,1,,,,,,,,
33,300,128,0,4,3,0,0,3,0,"2242/2260/2280 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,4600,1,0,,,,,,,,
34,301,128,0,4,2,0,0,1,0,"2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,0,0,N,,N,2133,5000,1,1,,,,,,,,
35,299,64,0,2,1,0,0,0,0,"2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,1,0,0,N,Wi-Fi 5,Y,2133,3200,0,2,,,,,,,,
36,298,64,0,2,1,0,0,0,0,"2260/2280 M-key
2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,1,0,1,0,0,N,Wi-Fi 6,Y,2133,5000,0,2,,,,,,,,
37,297,128,0,4,3,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,1,0,N,,Y,2133,4400,0,0,,,,,,,,
38,297,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,8,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,5100,0,0,,,,,,,,
39,301,128,0,4,2,0,0,1,0,"2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,N,2133,5066,1,0,,,,,,,,
40,298,64,0,2,1,0,0,0,0,"2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,1,0,0,N,Wi-Fi 5,Y,2133,4600,0,2,,,,,,,,
41,298,128,0,4,2,0,0,2,0,"2242/2260/2280 M-key
2242/2260/2280 M-key
2242 E-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,3,0,2,1,0,N,Wi-Fi 6,Y,2133,4733,0,0,,,,,,,,
42,302,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,5000,1,0,,,,,,,,
43,303,256,0,8,4,0,0,0,0,"2242/2260/2280 M-key
2242/2260/2280 M-key
2242/2260/2280 M-key
2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,"1 x 1 Gb/s
1 x 10 Gb/s",8,N,2,0,2,2,0,Y,Wi-Fi 6,Y,2133,4600,2,3,,,,,,,,
44,304,128,0,4,2,0,0,4,0,"2242/2260/2280/22110 M-key
2230 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,0,0,N,,Y,2133,4400,3,0,,,,,,,,
45,304,128,0,4,3,0,0,3,0,"2242/2260/2280 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,3,0,1,1,0,N,,Y,2133,4266,3,0,,,,,,,,
46,298,128,0,4,2,0,0,1,0,"2242/2260/2280 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,2,0,1,0,0,N,Wi-Fi 6,Y,2133,4400,0,1,,,,,,,,
47,302,128,0,4,3,0,0,1,0,"2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280 M-key
2242/2260/2280 M-key
2242/2260/2280/22110 M-key",0,0,0,0,2 x 2.5 Gb/s,6,Depends on CPU,2,0,2,0,1,N,Wi-Fi 6,Y,2133,5000,1,0,,,,,,,,
48,297,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,1,0,N,,Y,2133,4000,0,0,,,,,,,,
49,298,128,0,4,2,0,0,1,0,"2280 M-key
2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,0,0,N,,Y,2133,4533,0,1,,,,,,,,
50,297,128,0,4,3,0,0,1,0,"2242/2260/2280 M-key
2242/2260/2280/22110 M-key",0,0,0,0,"1 x 1 Gb/s
1 x 2.5 Gb/s",8,N,2,0,1,1,0,N,Wi-Fi 6,Y,2133,4600,0,0,,,,,,,,
51,298,64,0,2,1,0,0,0,0,"2242/2260/2280 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,1,0,1,1,0,N,Wi-Fi 6,N,2133,5100,0,2,,,,,,,,
52,301,128,0,4,1,0,0,2,0,"2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,N,2133,3200,1,1,,,,,,,,
53,299,64,0,4,3,0,0,1,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,Wi-Fi 5,Y,2133,3200,0,0,,,,,,,,
54,297,64,0,2,1,0,0,0,0,"2260/2280 M-key
2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,1,0,0,N,Wi-Fi 6,Y,2133,4400,0,2,,,,,,,,
55,304,128,0,4,3,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 5,Y,2133,4133,3,0,,,,,,,,
56,302,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280 M-key
2242/2260/2280/22110 M-key
2230 E-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,2,0,1,1,0,N,,Y,2133,5000,1,0,,,,,,,,
57,297,128,0,4,2,0,0,3,0,"2242/2260/2280 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,2,0,0,N,,Y,1866,4400,0,0,,,,,,,,
58,299,64,0,4,2,0,0,4,0,"2230/2242/2260/2280 M-key
2230/2242/2260/2280/22110 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,3466,0,0,,,,,,,,
59,298,128,0,4,2,0,0,2,0,"2242/2260/2280 M-key
2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,1866,4400,0,1,,,,,,,,
60,299,128,0,4,2,0,0,1,0,2242/2260/2280/22110 M-key,0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,4400,0,1,,,,,,,,
61,298,128,0,4,3,0,0,1,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,2,0,1,1,0,N,,Y,2133,4733,0,0,,,,,,,,
62,297,128,0,4,3,0,0,1,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,"1 x 1 Gb/s
1 x 2.5 Gb/s",6,N,2,0,2,1,0,N,Wi-Fi 6,Y,2133,4400,0,0,,,,,,,,
63,306,128,0,4,1,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,Wi-Fi 5,Y,2666,2933,1,1,,,,,,,,
64,298,128,0,4,2,0,0,2,0,"2242/2260/2280 M-key
2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,3,0,2,1,0,N,Wi-Fi 6,Y,2133,4733,0,0,,,,,,,,
65,297,128,0,4,3,0,0,1,0,"2242/2260/2280 M-key
2242/2260/2280/22110 M-key",0,0,0,0,"1 x 1 Gb/s
1 x 5 Gb/s",8,N,2,0,2,1,0,N,Wi-Fi 6,Y,2133,4600,0,0,,,,,,,,
66,299,64,0,4,2,0,0,4,0,2242/2260/2280/22110 M-key,0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,N,1866,4133,0,0,,,,,,,,
67,301,128,0,4,2,0,0,3,0,"2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,N,2133,3200,1,0,,,,,,,,
68,305,32,0,2,1,0,0,2,0,2242/2260/2280/22110 M-key,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,2133,3200,0,1,,,,,,,,
69,299,64,0,4,1,0,0,2,0,2242/2260/2280 M-key,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,2666,3866,0,1,,,,,,,,
