PID,Form Factor,Efficiency Rating,Wattage,Length,Modular,Type,Fanless,ATX Connectors,EPS Connectors,PCIe 12-Pin Connectors,PCIe 8-Pin Connectors,PCIe 6+2-Pin Connectors,PCIe 6-Pin Connectors,SATA Connectors,Molex 4-Pin Connectors,Output,Efficiency
23635,7,,850,,2,16,N,0,1,0,0,2,2,6,8,"+3.3@24A, +5V@32A, +12V1@18A, +12V2@18A, +12V3@20A, + 12V4@22A, -12V@0.5A, +5VSB@2.2A",< 78%
23636,7,1,700,139,2,16,N,0,1,0,0,0,1,6,3,,
23637,7,,500,139,2,16,N,0,1,0,0,0,2,5,5,"+3.3V@30A, +5V@45A, +12V1@18A, +12V2@16A, -12V@1A, +5VSB@2.5A",72%
23638,7,2,550,175,0,16,N,0,1,0,0,4,0,8,4,"+3.3V@20A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.5A, +5VSB@2.5A",
23639,7,,400,140,2,17,N,1,0,0,0,0,1,2,6,"+3.3V@30A, +5V@28A, +12V1@14A, +12V2@15A, -12V@1A, -5V@0.5A, +5VSB@2.5A",
23640,7,4,430,140,2,17,N,0,1,0,0,0,2,5,3,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, -12V@0.5A, +5VSB@2.5A",
23641,7,,450,140,2,17,N,1,0,0,0,0,1,4,6,"+3.3V@30A, +5V@45A, +12V1@17A, +12V2@16A, -12V@1A, +5VSB@2.5A",
23642,7,,400,,2,17,N,1,0,0,0,0,1,4,4,"+3.3V@30A, +5V@28A, +12V1@14A, +12V2@15A, -12V@1A, +5VSB@2.5A",
23643,7,,350,140,2,17,N,1,0,0,0,0,0,2,3,"+3.3V@22A, +5V@21A, +12V1@10A, +12V2@15A, -12V@0.8A, +5VSB@2.5A",
23644,7,1,430,139,2,16,N,0,1,0,0,0,2,5,3,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, -12V@0.5A, +5VSB@2.5A",
23645,7,0,700,,0,16,N,0,1,0,0,3,3,8,0,"+3.3@24A, +5V@24A, +12V@58A, -12V@0.5A, +5VSB@3A",< 90%
23646,7,,550,142,2,17,N,1,0,0,0,0,0,2,6,"+3.3V@30A, +5V@50A, -5V@0.5A, +12V@35A, -12V@1A, +5VSB@2.5A",> 65%
23647,7,,750,142,2,16,N,0,1,0,0,0,2,4,8,"+3.3V@30A, +5V@30A, +12V1@19A, +12V2@18A, +12V3@18A, -12V@0.5A, +5VSB@3.0A",
23648,7,,680,170,2,16,N,0,1,0,2,0,2,6,6,"+3.3V@38A, +5V@40A, +12V1@22A, +12V2@24A, -5V@0.3A, -12V@0.8A, +5VSB@2A",> 70%
23649,7,2,1000,180,1,14,N,0,2,0,0,4,0,12,6,"+3.3V@20A, +5V@20A, +12V@62A, -12V@0.5A, +5VSB@2.5A",>92% under 50% loading
23650,7,0,1050,180,1,14,N,0,2,0,0,6,0,8,6,,
23651,7,5,1000,210,0,16,N,0,1,0,0,3,3,9,8,"+3.3V@25A, +5V@30A, +12V1@28A, +12V2@25A, +12V3@35A, +12V4@28A, -12V@0.5A, +5VSB@3.5A",
23652,7,1,850,160,1,14,N,0,2,0,0,4,0,8,4,,
23653,7,4,1000,160,2,16,N,0,1,0,0,4,0,8,8,"+3.3V@28A, +5V@30A, +12V@80A, -12V@0.5A, +5VSB@4.0A",82%
23654,7,,470,,2,17,N,1,0,0,0,0,1,3,6,"+3.3@28A, +5V@32A, +12V@26A, -12V@0.8A, +5VSB@2.0A",74%
23655,7,4,610,,2,14,N,1,1,0,0,0,2,6,8,"+3.3@24A,+5V@30A,+12V@49A (Large Single Rail),-12V@0.8A,+5VSB@3.0A",83%
23656,7,1,850,165,1,16,N,0,1,0,0,2,2,2,6,,> 87%
23657,7,0,550,139,1,14,N,0,1,0,0,2,0,6,3,+3.3V@20A<br/>+5V@20A<br/>+12V@45A<br/>-12V@0.3A<br/>+5Vsb@2.5A,90% @ Typical Load
23658,7,0,650,140,2,14,N,0,1,0,0,2,2,4,4,,
