PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
29103,27,Y,,,0,,,
29104,145,N,300,1600,25,,,
29105,,N,800,1800,,,,280
29106,140,N,2200,,30,,,
29107,,N,1200,2000,10,27.36,,120
29108,75,N,600,2000,,,2,
29109,,N,1600,,20.5,,,120
29110,156,N,400,1400,5.3,28,,
29111,,N,800,2400,6.5,27,,120
29112,165,N,1100,,19,,,
29113,130,N,,,22.5,,,
29114,158,N,500,1400,,,,
29115,165,N,400,1050,22,,,
29116,23,N,1200,3400,18,26,,
29117,67,N,1500,7000,16,47.5,3,
29118,158,N,1000,1500,24.53,,,
29119,63,N,2500,,27,,1,
29120,160,N,800,1800,10,21,,
29121,,N,2000,,21,39,,280
29122,,N,500,2300,14,35,,240
29123,,N,600,2200,14,23.8,,
29124,150,N,200,1800,24.4,,,
29125,36,N,700,1800,18,35.2,,240
29126,,N,800,1500,16,22,,360
29127,,N,500,1800,32,,,120
29128,,N,600,1800,35,,,120
29129,160.02,N,500,1600,25.3,,,
29130,,N,400,1800,28,,,280
29131,29.5,N,600,3000,28.71,,,
29132,69,Y,,,0,,,
29133,166,N,1500,1700,13.5,26.4,2,
29134,58,N,900,2500,22,30,3,
29135,,N,2000,,16.1,36.9,,240
29136,155,N,200,1800,24.4,,,
29137,,N,500,1800,17.6,31.3,,360
29138,30,N,800,3600,17,35.8,,
29139,150,N,200,1800,24.4,,,
29140,,N,1000,5000,20.71,51.7,,
29141,161,N,500,1300,13,30.7,,
29142,165,N,600,1600,32,,,
29143,163,N,600,1800,18.2,32.4,,
29144,,N,900,1800,36,,,360
29145,157,N,200,2100,24.4,,,
29146,,N,1200,2000,27.36,,,240
29147,134,N,1400,2800,20,32,,
29148,160,N,1300,1800,26.5,34,0,
29149,34,N,800,3300,8.2,32.5,,
29150,79,N,500,4000,18.07,39.03,3,
29151,42,N,100,2000,,,,
29152,162,N,800,1800,16,26,,
29153,150,N,200,1800,24.4,,,
29154,,N,900,1800,36,,,240
29155,134,N,1200,2800,20,28,,
29156,56,N,2750,,28.2,,,
29157,160,N,1000,2000,20,39.9,,
29158,110,N,1000,2500,17,31.92,3,
29159,160,N,500,1600,8,30,0,
29160,145,N,600,1300,25.4,,,
29161,41,N,750,,20.5,,2,
29162,,N,800,2000,20,38.2,,240
29163,,N,600,1800,17.8,34.1,,240
29164,166,N,600,1800,6,31,,
29165,,N,900,1800,36,,,120
29166,,N,900,1800,30,,,360
29167,122,N,300,1200,4,24.9,,
29168,47,N,600,2500,30,,,
29169,,N,600,1600,34,,,280
29170,162,N,300,1500,4,29.8,0,
29171,59,N,750,1600,12,25.4,2,
29172,70,N,1700,3100,18,33.4,3,
29173,23,N,1500,3400,18,26,,
29174,154,N,300,1200,4,24.9,,
29175,162,N,2200,,27,,,
29176,162,N,2800,,42.5,,,
29177,159,N,650,2000,6,30,,
29178,114,N,750,1200,10.1,19.6,,
29179,,N,500,2000,6,30,,120
29180,58,N,1200,2500,26,,,
29181,,N,500,1800,30,,,240
29182,79,N,500,4000,18.07,39.03,3,
29183,,N,500,1500,14,25,,280
29184,57,N,2200,,17,,0,
29185,,N,500,1500,14,25,,280
29186,158,N,600,1800,19,25,,
29187,164,N,500,2000,18,41,,
29188,112,N,1300,,13.4,19,,
29189,160,N,1200,1800,39,,,
29190,84,N,800,2800,17,35,0,
29191,152,N,800,2000,18,38,3,
29192,30,N,600,2600,16,24.5,0,
29193,160,N,1200,1500,18,22,,
29194,77,N,500,2000,,,2,
29195,,N,2400,,19,40.33,,240
29196,,N,700,1800,8.3,28.8,,280
29197,117,N,2200,,22,,,
29198,57,N,500,1800,17.6,31.3,,360
29199,59,N,650,2200,10.5,31.67,0,
29200,160,N,800,1800,18.9,25,,
29201,,N,500,1800,17.6,31.3,,240
29202,,N,700,1800,18,35.2,,120
29203,61.5,N,500,1600,31,,,
29204,72.65,N,700,1300,,,,
29205,162.14,N,300,1300,15,21,,
29206,159,N,600,2200,15,38,,
29207,165,N,400,1050,22,,,
29208,,N,500,2200,36.8,,,240
29209,153.5,N,600,1800,16.1,27.7,,
29210,158,N,1000,1500,24.53,,0,
29211,66,N,1200,5000,18.02,42.5,3,
29212,158,N,600,1600,32,,,
29213,141,N,,,19,,0,
29214,120,N,800,2400,17,,,
29215,152,N,750,2500,13.2,41.5,,
29216,,N,1450,2000,,,,120
29217,171,N,700,1200,13.4,19,,
29218,165,N,600,2500,21,45,,
29219,,N,1000,2000,20,,,120
29220,,N,800,1700,26.9,,,360
29221,,N,600,1800,17.8,34.1,,120
29222,166,N,600,1800,6,31,,
29223,,N,800,2200,16.5,27.4,,240
29224,60,N,1800,,28,,,
29225,168.3,N,700,1300,19,23,,
29226,157,N,800,1650,,,,
29227,163,N,200,1400,28.43,,,
29228,118,N,800,2200,27.9,,0,
29229,62,N,1000,4500,13.14,45.9,3,
29230,27,N,1400,2000,16,28.9,,
29231,73.66,N,,,25,,,
29232,,N,600,2400,19,40,,240
29233,150,N,210,2100,28.8,,,
29234,,N,500,2300,14,28,,360
29235,130,N,,,22.5,,,
29236,160,Y,,,0,,,
29237,,N,700,2400,27.4,,,120
29238,70,N,500,2000,15,24,,
29239,159,N,1000,2200,30.1,,,
29240,152,N,1000,1700,17,28,,
29241,159,N,1000,2200,30.1,,,
29242,158,Y,,,0,,,
29243,143,N,900,2200,17.8,34.6,,
29244,,N,600,2200,17.6,39.29,,240
29245,160,N,1800,,16.2,29.2,,
29246,159,N,300,1300,15,21,,
29247,159,N,300,1400,13,18,,
29248,159,N,900,1500,17.8,30,,
29249,157,N,800,1800,29,,,
29250,157,N,200,2100,,,,
29251,25,N,4800,,36,,3,
29252,160,N,950,1350,17,21,,
29253,,N,800,1700,26.9,,,120
29254,163,N,800,1500,16.5,30.8,,
29255,28,N,1000,6000,21.5,55.8,3,
29256,152,N,1000,1600,19,28,0,
29257,160,N,1000,2150,20,39,3,
29258,142,N,1250,2800,19.5,35,3,
29259,122,N,1000,1600,7.9,17.6,,
29260,166,N,1200,,25,,,
29261,163,N,600,2000,9,36,0,
29262,163,N,600,1800,9,34.6,0,
29263,160,N,1300,1800,26.5,34,0,
29264,,N,600,2400,,,,120
29265,162,N,900,1300,17,21,,
29266,150,N,600,1300,25.4,,,
29267,136,N,1000,2200,28.87,,0,
29268,150,N,1600,,17.8,21,,
29269,120,Y,,,0,,,
29270,140,N,800,1600,16,20.2,,
29271,160,N,300,1400,12,19,,
29272,168,N,300,1400,12.6,31.1,,
29273,158,N,500,1500,8,24.8,,
29274,153,N,750,1500,12,25.5,,
29275,150,N,,,22.5,,,
29276,,N,800,1600,16.8,32.6,,280
29277,157,N,800,1800,29,,,
29278,,N,900,1800,30,,,240
29279,,N,600,1700,16.1,27.7,,120
29280,58,N,1000,2000,28,,,
29281,37,N,1500,2500,15,25,,
29282,167,N,600,1000,23,,0,
29283,161,N,400,1350,,,2,
29284,161,N,500,1300,13,30.7,,
29285,117,N,2200,,22,,0,
29286,14,N,4500,,39,,3,
29287,159,N,300,1350,,,2,
29288,64,N,500,2000,,,,
29289,67,N,3000,,,,0,
29290,151,N,1000,2000,16,20,2,
29291,161,N,500,2000,18,41,3,
29292,70,N,600,2000,14,,2,
29293,160,N,800,2200,38.1,,,
29294,159,N,1000,2200,16.39,33.5,0,
29295,,N,2500,,30,,,240
29296,28,N,1500,4000,16.2,37.5,,
29297,,N,500,2000,16,35,,240
29298,,N,600,2200,17.6,39.29,,120
29299,165,N,900,1300,17,21,,
29300,154,N,750,1600,12,26.7,,
29301,154,N,750,1500,12,26.5,,
29302,,N,700,1800,18,35.2,,120
29303,,N,500,1800,17.8,30,,240
29304,135,N,600,2500,17,29.5,,
29305,102,N,1000,2800,20,28,,
29306,161,N,300,1700,5.8,36.4,,
29307,67,N,1000,2000,22.7,37.1,3,
29308,159,N,1000,2200,16.39,33.5,0,
29309,,N,,,,,,120
29310,162,N,300,1300,15,21,,
29311,81,N,200,1400,28.43,,,
29312,78,N,2200,,18,,,
29313,160,Y,,,0,,,
29314,,N,1000,2200,18.89,36.7,,120
29315,160,N,400,1400,5.3,28,,
29316,160,N,700,1200,12,19.3,,
29317,148,N,,,,,,
29318,32,N,600,3000,13.5,26.5,0,
29319,64,N,650,2200,10.5,31.67,,
29320,70,N,4200,,44,,,
29321,140,N,1000,2400,19.3,30,,
29322,159,N,800,2000,21,44,,
29323,157,N,600,1800,21.9,27.6,,
29324,157,Y,,,0,,,
29325,130,N,500,2000,22.5,,,
29326,160,N,500,1500,24.6,,,
29327,,N,1000,2600,21.6,36.6,0,240
29328,160,N,1500,,24.6,,0,
29329,,N,500,2300,14,35,,120
29330,59,N,600,1900,11.5,31.5,,
29331,,N,1500,2500,18,35,,120
29332,164,N,600,1900,6.9,28.9,,
29333,165,N,300,1300,17,24.9,,
29334,161,N,400,1350,22.5,,,
29335,,N,600,1800,18.2,32.4,,120
29336,,N,500,1800,21.2,,,240
29337,163,N,300,1800,4,23.6,0,
29338,160,N,300,1400,12,19,,
29339,161,N,900,1500,17.8,30,,
29340,,N,2500,,18,26.4,,120
29341,165,N,300,1400,8,26.8,,
29342,160,N,800,2000,15,33.2,,
29343,150,N,,,22.5,,,
29344,138,N,800,2800,16,27,,
29345,160,N,600,1900,6.9,28.9,,
29346,,N,1100,,25,,,120
29347,,N,500,1800,18,25,,240
29348,143,N,1800,,23,,,
29349,138,N,900,2200,10,24.1,2,
29350,40,N,800,3300,8.2,32.5,,
29351,45,N,800,2800,,,,
29352,84,N,500,2000,,,,
29353,117,N,2200,,22,,0,
29354,165,N,1200,2500,20,43,,
29355,159,N,470,1900,7.05,27.3,0,
29356,37,N,1200,3000,15,38,,
29357,134,N,1400,2800,20,32,,
29358,25,N,1200,2500,28,,0,
29359,93,N,900,2500,19.5,,,
29360,159,Y,,,,,,
29361,165,N,500,1300,17,21,,
29362,,N,,,,,,120
29363,60,N,900,2400,17.8,32.5,,
29364,38,N,2600,,28,,,
29365,15,N,1000,2800,22,,,
29366,,N,900,2000,,,,120
29367,157,N,600,1800,21.9,27.6,,
29368,161,N,400,1350,,,3,
29369,160,N,2000,,19.39,31.05,0,
29370,160,N,1000,2000,20,39.9,,
29371,26,Y,,,0,,,
29372,160,N,150,1500,28.6,,,
29373,159,Y,,,,,,
29374,170,N,900,1300,17,21,,
29375,60,N,900,1800,18.2,32.4,,
29376,56,N,1800,,22.3,,,
29377,,N,800,1700,26.9,,,240
29378,,N,600,2200,17.6,39.29,,240
29379,130,N,500,2000,,,,
29380,52,N,800,2500,12,28.8,,
29381,159,N,1800,,16.2,29.2,,
29382,,N,600,2400,16,35,,120
29383,159,Y,,,,,,
29384,48,N,1200,3500,21.56,62.88,,
29385,,N,800,2400,12,35,,240
29386,150,N,200,1800,24.4,,,
29387,149,N,800,2200,25,,,
29388,,N,700,1800,18,35.2,,240
29389,58,N,1200,2500,26,,,
29390,58,N,1200,2500,26,,,
29391,117,N,300,1800,4.5,26.7,,
29392,,N,600,1800,25,32,,120
29393,,N,600,1700,16.1,27.7,,120
29394,,N,800,1800,23,,,360
29395,64,Y,,,,,,
29396,143,N,1300,2000,16,24,,
29397,,N,2200,,22,,1,
29398,112,N,700,1200,13.4,19,,
29399,160,Y,,,,,,
29400,138,N,600,2500,14.5,25,0,
29401,160,N,800,1600,,,,
29402,65,N,900,2600,14,33,,
29403,68,N,650,1400,28,,0,
29404,35,N,1500,2500,18.5,28,,
29405,150,N,,,,,,
29406,88,N,,,,,,
29407,29,N,1000,5000,20.5,49.8,3,
29408,67,N,1150,2300,17,32,3,
29409,142,N,1250,2800,19.5,35,3,
29410,,N,1000,3000,16,25.3,,
29411,63,N,1700,2400,13.5,24,3,
29412,38,N,2400,,26.2,,3,
29413,94,N,300,2500,7.2,31.07,0,
29414,37,N,1200,1800,15,23,,
29415,55,N,2600,,28,,,
29416,57,N,1200,2500,28,,0,
29417,75,N,900,2600,30,,,
29418,130,N,600,2000,,,,
29419,159,N,800,1200,18,,0,
29420,153,N,750,1500,12,25.5,,
29421,160,N,1300,,24.1,,,
29422,160,N,800,1800,16,21,,
29423,160,N,470,1900,7.05,37,,
29424,,N,900,2000,17,36,,120
29425,154,N,1000,1600,17,26,,
29426,53,N,5500,,,,,
29427,161,N,400,1350,,,2,
29428,112,N,700,,13.4,19,,
29429,112,N,700,,13.4,19,,
29430,,N,900,2000,,,,120
29431,63,N,800,2600,20,32,,
29432,159,Y,,,,,,
29433,,N,600,2400,19,40,,120
29434,165,N,1400,2200,16,38,,
29435,,N,1200,3000,16,33,,240
29436,162,N,2000,,9,36,1,
29437,60,N,2300,,29,,,
29438,152,N,800,1600,18,30.2,,
29439,160,N,800,2200,15,35,,
29440,,N,800,1800,16,33,,360
29441,140,N,500,1300,13,30.7,,
29442,162,N,900,1300,17,21,,
29443,163,N,600,2500,21,45,,
29444,160,N,700,1500,17,28.5,,
29445,,N,1000,2300,23.2,46.6,,240
29446,160,N,2200,,23,,,
29447,,N,800,1800,16,33,,240
29448,161,N,500,1300,13,30.7,,
29449,,N,600,2200,17.6,39.29,,120
29450,,N,1000,2600,21.6,36.6,0,240
29451,163,N,500,1600,6.9,28.9,,
29452,40,N,4200,,31.8,,0,
29453,159,N,800,1500,16,24,,
29454,,N,2400,,19,40.33,,240
29455,,N,1500,2500,18,35,,240
29456,105,N,800,1800,20,,,
29457,,N,700,1800,8.3,28.8,,140
29458,155,N,300,1500,4,29.5,,
29459,166,N,300,1300,15,21,,
29460,162,N,500,1200,10,19,,
29461,164,N,600,1900,8,27,,
29462,,N,800,2200,16.5,27.4,,120
29463,58,N,900,2500,22,30,,
29464,58,N,900,2500,22,30,,
29465,150,N,,,,,,
29466,57,N,600,1600,13.8,30.2,,
29467,162,N,800,,15,,,
29468,,N,800,2000,20,38.2,,240
29469,76,N,600,2200,,,,
29470,160,Y,,,0,,,
29471,167,Y,,,0,,,
29472,165,N,700,,18.5,,,
29473,,N,,,,,,240
29474,,N,500,2300,14,28,,240
29475,165,N,600,1600,32,,,
29476,150,N,120,1350,22.5,,,
29477,126,N,300,1400,4,28,,
29478,65,N,900,2500,22,30,,
29479,138,N,600,2800,12,28,,
29480,39,N,500,1500,14,25,,280
29481,157,N,800,1800,29,,,
29482,130,N,300,2300,7.2,28.26,,
29483,,N,1100,,25,,,240
29484,,N,500,2300,14,28,,240
29485,,N,1500,2500,18,35,,240
29486,65,N,600,1700,16.1,27.7,,
29487,154.5,N,600,1750,16.1,27.7,,
29488,155,N,300,1200,5.83,25.1,,
29489,,N,800,1800,23,,,240
29490,,N,800,2200,,,,240
29491,135,N,1500,,25.2,,,
29492,152,N,500,1800,17.2,33.6,,
29493,31,N,800,2500,16,27.3,3,
29494,160,N,450,4500,27.8,,,
29495,66,N,1500,,19,,,
29496,165,N,1000,1500,24.53,,0,
29497,165,N,800,2200,15,38,,
29498,84,N,1300,,,,,
29499,66,N,1700,,17,,,
29500,47,N,800,1700,16,,,
29501,152,N,900,1700,18,30,,
29502,143,N,1300,2000,16,24,,
29503,162,N,800,1300,16,,,
29504,160,N,700,1400,26,,3,
29505,63,N,1350,2400,17,24,3,
29506,152,N,1000,2000,19.5,38,3,
29507,67,N,1800,,23,,,
29508,109,N,,,0,,,
29509,38,N,2400,,26.2,,3,
29510,104,N,800,2800,20,34,,
29511,38,N,2400,,30,,,
29512,70,N,2500,,22.41,,0,
29513,62,N,600,3000,15,30,0,
29514,158,N,,,26.5,,0,
29515,130,N,470,1900,9.8,27.3,0,
29516,159,N,1000,2200,20,,,
29517,160,N,1000,2200,28,,,
29518,65,N,1500,2500,22,,1,
29519,159,N,1000,2200,30.1,,,
29520,159,N,800,1500,20,32,1,
29521,134,N,1200,2800,23,35,1,
29522,150,N,900,1800,30,,,
29523,160,N,,,,,,
29524,77,N,900,2300,30,,0,
29525,77,N,900,2300,30,,0,
29526,132,N,,,,,,
29527,64,N,2200,,23.8,,1,
29528,40,N,2600,,33,,,
29529,77,N,300,2500,12,16,,
29530,159,N,1200,2100,21,48,,
29531,118,N,1000,2500,15.8,43.3,3,
29532,135,N,1250,1950,17,25,,
29533,28,N,1200,2500,15,27.2,3,
29534,129,N,900,2200,17.8,34.6,,
29535,161,N,1600,,28,,2,
29536,158,N,300,1600,26.5,,,
29537,151,N,,,16,,,
29538,155,N,1000,2000,16,20,,
29539,163,N,600,2000,9,36,0,
29540,105,N,800,1800,15.1,31.6,0,
29541,115,N,800,1800,10,21,,
29542,119,N,900,2500,15,24,,
29543,171,N,700,1200,13.4,19,,
29544,163,N,600,2400,19,40,0,
29545,105,N,800,1800,15.1,31.6,0,
29546,,N,1200,2000,10,27.36,,120
29547,140,N,2400,,30,,,
29548,66,N,1400,2800,20,32,,
29549,153,N,1600,,8,24,2,
29550,60,N,1250,2800,19.5,35,,
29551,38,N,800,2800,20,34,,
29552,65,N,1000,3000,28,,0,
29553,137,N,500,1300,9.6,24.7,,
29554,94,N,300,2500,7.2,31.07,,
29555,,N,800,2200,18.5,32.8,,120
29556,45,N,1000,2500,19,26,,
29557,86,N,500,2000,,,,
29558,,N,900,2000,,,,120
29559,154,N,900,1400,19,27,,
29560,,N,1600,,20.5,,,240
29561,163,N,600,2400,19,40,0,
29562,158,N,1500,,7.8,21.4,,
29563,126,N,1500,,9.6,24.4,1,
29564,155,N,800,1600,18,30.2,,
29565,,N,1200,2500,20,43,,120
29566,170,N,900,1300,17,21,,
29567,44,N,1200,2800,22,,,
29568,53,N,800,2600,20,32,2,
29569,150,N,900,1300,17,21,,
29570,,N,2500,,30,,,120
29571,140,N,500,1800,18,34.79,0,
29572,63,N,1350,2400,17,24,3,
29573,44,N,800,1400,20,,2,
29574,160,N,650,1400,28,,0,
29575,,N,1000,2600,21.6,36.6,0,240
29576,159,N,750,1800,12,28,2,
29577,125,N,1000,2000,,,2,
29578,125,N,1000,2000,,,,
29579,148,N,600,1600,,,3,
29580,158,N,600,1600,,,3,
29581,158,N,600,1600,,,3,
29582,134,N,1200,2800,20,28,,
29583,135,N,2200,,20,,,
29584,57,N,1200,2500,28,,0,
29585,162,N,,,0,,,
29586,162,N,300,1300,15,21,,
29587,159,N,800,1200,18,,,
29588,158,N,500,1500,21,,,
29589,,N,1500,2500,18,35,,240
29590,167,N,600,1000,23,,0,
29591,44,N,300,2500,14,33,,
29592,27,N,800,2700,14,23,3,
29593,155,N,300,1500,4,29.8,,
29594,60,N,500,2000,9.32,33.67,,
29595,,N,600,2200,17.6,39.3,,240
29596,,N,600,1800,17.8,34.1,,240
29597,125,N,400,1800,8,24.3,,
29598,158,N,500,1500,18.2,,,
29599,53,N,1000,2100,16,27.1,,
29600,45,N,600,2500,14,33,,
29601,150,N,200,1800,24.4,,,
29602,,N,700,1800,18,35.2,,120
29603,150.15,N,300,1300,21,33,,
29604,160,N,500,1500,24.6,,,
29605,65,N,600,1700,16.1,27.7,,
29606,65,N,600,1700,16.1,27.7,,
29607,,N,800,1800,23,,,120
29608,158,N,1500,,25.6,,,
29609,158,N,1500,,25.6,,,
29610,51,N,900,2000,14,22.1,,
29611,125,N,1350,2600,18,27,3,
29612,154,N,850,1200,22,24,3,
29613,110,N,1000,2500,17,31.92,3,
29614,110,N,1000,3800,16,43.4,3,
29615,138,N,,,,,,
29616,45,N,2800,,22,,0,
29617,88,N,1000,2000,17,21,0,
29618,63,Y,,,0,,,
29619,74,N,2000,6000,20.23,44.88,3,
29620,65,N,900,2600,12,31,,
29621,38,N,2500,,21,,3,
29622,160,N,1000,1600,19,28,0,
29623,159,N,800,2000,15,33.2,,
29624,67,N,1150,2100,17.5,30,3,
29625,57,N,650,2200,,,,
29626,,N,1800,,20,,,
29627,160,N,1000,,21,,,
29628,70,N,2000,3600,23,45.9,,
29629,70,N,2400,,31,,,
29630,71,N,500,3400,17,34.2,3,
29631,160,N,470,1900,9.8,27.3,0,
29632,149,N,,,0,,,
29633,66,N,1400,2600,20,30,3,
29634,134,N,800,1500,27.2,,1,
29635,133,N,1200,2800,22,30,1,
29636,160,Y,,,0,,,
29637,160,N,800,1500,16,24,,
29638,160,N,500,1700,9.6,36.4,0,
29639,81,N,2500,,34,,,
29640,62,N,740,3700,21,40,,
29641,40,N,600,3700,15,46.5,3,
29642,140,N,1200,1800,23,30,,
29643,28,N,1100,2300,15,24.5,3,
29644,74,N,2200,,30.1,,,
29645,74,N,2200,,30.1,,,
29646,59,N,2200,,25,,,
29647,72,N,2500,,25,,,
29648,82,N,2200,,30.1,,,
29649,153,N,1000,2000,,,,
29650,153,N,1000,2000,,,,
29651,75,N,1200,2200,27,,,
29652,115,N,800,1800,16,21,,
29653,67,N,1800,,23,,,
29654,79,N,800,2500,15,35,,
29655,159,N,600,1800,10,26.8,,
29656,128,N,750,2500,18,27,,
29657,67,N,2500,,,,0,
29658,67,N,1000,2000,8,24,2,
29659,160,N,800,1800,16,21,,
29660,88,N,2200,,25,,,
29661,153,N,800,2000,8,28,2,
29662,144,N,900,2800,12,31,,
29663,161,N,,,,,,
29664,98,N,1000,6000,21,48,,
29665,159,N,,,26,,,
29666,58,N,,,9.32,33.67,0,
29667,127,N,900,2200,17.8,28.1,,
29668,170,N,700,1200,18.2,26.7,,
29669,157,N,900,1500,21.4,32.1,,
29670,160,N,500,1500,17.8,27.6,,
29671,158,N,500,1500,17.6,27.6,,
29672,130,N,2200,,23.4,,,
29673,74,N,400,2800,17.8,40.7,,
29674,145,N,800,2000,,,2,
29675,171,N,700,1200,13.4,19,,
29676,28,N,1200,2600,15,27.2,3,
29677,153,N,800,2800,19,27,,
29678,63,N,800,2800,20,34,,
29679,137,N,500,1300,9.6,24.7,,
29680,159,Y,,,,,,
29681,39,N,3500,,30.6,,,
29682,156,N,800,2150,17.2,39,,
29683,144,N,900,2800,12,31,,
29684,143,N,300,2500,7.2,31.07,,
29685,158,N,300,1600,9.6,32.15,,
29686,152,N,800,1500,15.3,29,,
29687,159,N,1000,2200,20,32,,
29688,27,Y,,,,,,
29689,64,Y,,,,,,
29690,27,Y,,,,,,
29691,160,Y,,,,,,
29692,,N,800,2200,17.3,31.2,,120
29693,162,N,1800,2200,28.8,38,,
29694,125,N,900,2400,10,25.8,,
29695,160,N,750,1600,25.4,25.5,2,
29696,134,N,1200,2800,16,24,,
29697,,N,1500,2500,16,33.5,,240
29698,,N,1500,2500,16,33.5,,120
29699,64,N,2000,,25,,,
29700,160,N,2200,,31.2,,,
29701,145,N,700,1500,17,28.5,,
29702,145,N,600,1300,24.5,,,
29703,82,N,1000,2200,,,0,
29704,63,N,800,2800,20,34,,
29705,,N,600,2500,15,30,3,120
29706,,N,2500,,30,,,120
29707,134,N,800,2800,16,28,,
29708,134,N,800,2800,16,27,,
29709,160,N,500,1800,18,38.4,0,
29710,159,N,1200,2100,21,48,0,
29711,60,N,1200,,19.2,22.4,2,
29712,163,N,900,1300,21,25,,
29713,125,N,800,2000,27,,,
29714,160,N,600,1400,28,,0,
29715,132,N,2200,,,,,
29716,167,N,700,1400,17.8,31.1,,
29717,,N,1000,2600,21.6,36.6,0,240
29718,31,N,1800,,21,,,
29719,28,N,,,,,,
29720,133,N,1500,2400,20,30,,
29721,153,N,800,2000,10,24,,
29722,163,N,500,1600,8,30,0,
29723,45,N,600,2500,14,33,,
29724,159,N,800,1200,18,,,
29725,,N,1500,2500,18,35,,120
29726,68,N,650,1400,28,,0,
29727,,N,500,1800,14,30,,240
29728,45,N,300,2500,14,33,,
29729,160,N,800,1800,16.2,29.2,,
29730,160,N,1600,,21,,,
29731,160,N,800,1800,16.2,32.6,,
29732,27,N,800,2700,14,23,,
29733,161,N,800,1800,16.2,29.2,,
29734,161,N,1800,,16.2,29.2,,
29735,157,N,800,1800,16.2,29.2,,
29736,157,N,800,1800,16.2,29.2,,
29737,163,N,1600,1800,16.2,29.2,,
29738,140,N,800,1600,16,20.2,,
29739,160,N,800,1800,16.2,29.2,,
29740,116,N,2200,,23.3,,,
29741,138,N,300,2500,7.2,31.1,0,
29742,115,N,300,2500,7.2,31.1,0,
29743,59,N,650,2200,10.5,31.67,,
29744,155,N,300,1500,4,29.8,0,
29745,158,N,500,1500,18.2,,,
29746,,N,800,2200,16.5,27.4,,240
29747,,N,900,1800,30,,,120
29748,,N,600,1700,16.1,27.7,,240
29749,72.6,N,1200,2800,16.08,34.48,,
29750,154,N,1500,,25.6,,,
29751,152,N,700,1500,18.1,30.5,,
29752,,N,650,1800,6,30,,120
