PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28553,155,N,500,1650,,,,
28554,,N,650,1400,10,27,,280
28555,63,N,1800,,21.3,,,
28556,,N,200,1800,,,,120
28557,136,N,600,2000,29.4,,,
28558,,N,500,1800,32.1,,,360
28559,,N,450,2000,29.7,,,240
28560,154,N,900,2000,16.2,31.5,,
28561,125,N,1000,1600,7.9,17.6,,
28562,,N,550,2200,31.6,,,360
28563,,N,500,1500,25.8,,,240
28564,160,N,600,1600,9,31,1,
28565,,N,500,2000,17,32.6,,240
28566,,N,650,2000,6,30,,120
28567,157,N,200,2100,24.4,,,
28568,66,N,300,1600,13.1,17.6,,
28569,,N,500,1700,10,35.5,,280
28570,,N,800,2500,37.6,,,360
28571,125.5,N,800,1800,15.1,31.6,,
28572,,N,2300,,22.3,44.5,,280
28573,,N,550,1700,29,,,360
28574,,N,500,1800,21,38,,280
28575,,N,650,2000,6,30,,120
28576,155,N,500,1650,,,,
28577,,N,2435,,37.7,,,120
28578,,N,500,2000,32.2,,,240
28579,,N,500,2000,32.2,,,360
28580,158,N,300,1500,18.6,22.4,,
28581,60,N,900,2400,17.8,32.5,,
28582,155,N,1300,,14.6,,,
28583,58,N,300,2500,1.8,23.2,,
28584,39.4,N,800,2000,6,28,,
28585,,N,450,2000,29.7,,,360
28586,158,Y,,,0,,,
28587,,N,500,1800,35,,,360
28588,,N,450,2600,36.4,,,120
28589,130.8,N,1400,,11.9,26.7,2,
28590,90,N,1000,3850,,,,
28591,,N,1800,,32.1,,,120
28592,,N,500,1800,30,,,240
28593,166,N,650,1800,6,31,,
28594,136,N,800,2200,,,,
28595,,N,500,2000,10,33.2,,360
28596,,N,500,1800,30,,,360
28597,134,N,1400,,,,,
28598,,N,800,2500,37,,,240
28599,,N,650,1800,8,27,,240
28600,47,N,800,2800,14,37.6,,
28601,,N,500,2000,21,36,,240
28602,158,N,450,2000,18.8,22.6,,
28603,125,N,800,2000,24.5,,,
28604,,N,500,1800,30,,,360
28605,157,N,200,1800,,,,
28606,,N,500,2000,32.7,,,360
28607,155,N,300,800,4,14.5,,
28608,158,N,600,2000,9,36,,
28609,,N,700,1800,18,35.2,,240
28610,,N,500,1500,25.8,,,120
28611,,N,1100,,29.4,,,420
28612,,N,500,2200,18,34.2,,240
28613,165,N,1200,1500,19.2,24.6,,
28614,,N,1500,,28.2,,,240
28615,,N,,,0,39.9,,240
28616,,N,650,2000,6,30,,240
28617,163,N,,,11.5,24.4,,
