PID,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,SSD NAND Flash Type,Hybrid SSD Cache,SSD Controller,Power Loss Protection
17443,2000,0.025,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17444,1000,0.14,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17445,1000,0.085,SSD,,M.2-2280,M.2 (M),Y,,,,
17446,2000,0.12,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17447,1000,0.19,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17448,500,0.11,SSD,,M.2-2280,M.2 (B+M),N,,,,
17449,500,0.16,SSD,512,M.2-2280,M.2 (M),Y,,,,
17450,2000,0.178,SSD,,M.2-2280,M.2 (M),Y,,,,
17451,7680,0.833,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17452,1000,0.04,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17453,500,0.092,SSD,,M.2-2280,M.2 (M),Y,,,,
17454,240,0.117,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17455,1000,0.11,SSD,,M.2-2280,M.2 (M),Y,,,,
17456,1000,0.16,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17457,1000,0.044,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17458,2000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17459,1000,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17460,1000,0.084,SSD,,M.2-2280,M.2 (M),Y,,,,
17461,500,0.088,SSD,,M.2-2280,M.2 (M),Y,,,,
17462,4000,0.021,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17463,500,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17464,1000,0.09,SSD,,M.2-2280,M.2 (M),Y,,,,
17465,1000,0.135,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17466,1000,0.095,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17467,8000,0.162,SSD,,M.2-2280,M.2 (M),Y,,,,
17468,1000,0.091,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17469,1000,0.165,SSD,,M.2-2280,M.2 (M),Y,,,,
17470,18000,0.027,7200RPM,512,"3.5""",SATA 6 Gb/s,N,,,,
17471,1000,0.09,SSD,,M.2-2280,M.2 (M),Y,,,,
17472,500,0.13,SSD,,M.2-2280,M.2 (M),Y,,,,
17473,500,0.25,SSD,512,M.2-2280,M.2 (M),Y,,,,
17474,250,0.26,SSD,512,M.2-2280,M.2 (M),Y,,,,
17475,500,0.104,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17476,4000,0.021,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17477,8000,0.181,SSD,,M.2-2280,M.2 (M),Y,,,,
17478,8000,0.093,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17479,2000,0.022,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17480,4000,0.034,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17481,2000,0.083,SSD,2048,"2.5""",SATA 6 Gb/s,N,,,,
17482,2000,0.17,SSD,,M.2-2280,M.2 (M),Y,,,,
17483,1000,0.357,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17484,2000,0.085,SSD,,M.2-2280,M.2 (B+M),N,,,,
17485,1000,0.15,SSD,,M.2-2280,M.2 (M),Y,,,,
17486,480,0.092,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17487,500,0.118,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17488,4000,0.035,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17489,15300,0.216,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17490,500,0.11,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17491,120,0.192,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17492,4000,0.125,SSD,4096,"2.5""",SATA 6 Gb/s,N,,,,
17493,1020,0.098,SSD,,M.2-2280,M.2 (M),Y,,,,
17494,18000,0.032,7200RPM,,"3.5""",SATA 6 Gb/s,N,,,,
17495,1000,0.08,SSD,,M.2-2280,M.2 (M),Y,,,,
17496,1000,0.16,SSD,,M.2-2280,M.2 (M),Y,,,,
17497,2000,0.14,SSD,2048,"2.5""",SATA 6 Gb/s,N,,,,
17498,4000,0.218,SSD,,M.2-2280,M.2 (M),Y,,,,
17499,500,0.144,SSD,,M.2-2280,M.2 (M),Y,,,,
17500,4000,,SSD,,PCI-E,PCIe x8,N,,,,
17501,320,0.052,5400RPM,8,"2.5""",SATA 3 Gb/s,N,,,,
17502,1000,0.11,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17503,512,0.092,SSD,,M.2-2280,M.2 (M),Y,,,,
17504,1000,0.095,SSD,,M.2-2280,M.2 (B+M),N,,,,
17505,2000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17506,4000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17507,1000,0.132,SSD,,M.2-2280,M.2 (M),Y,,,,
17508,250,0.36,SSD,512,M.2-2280,M.2 (M),Y,,,,
17509,500,0.16,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17510,500,0.198,SSD,,M.2-2280,M.2 (M),Y,,,,
17511,250,0.164,SSD,,M.2-2280,M.2 (M),Y,,,,
17512,2000,0.023,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17513,16000,0.02,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17514,2000,0.095,SSD,,M.2-2280,M.2 (M),Y,,,,
17515,500,0.032,5400RPM,32,"3.5""",SATA 3 Gb/s,N,,,,
17516,18000,0.021,7200RPM,,"3.5""",SATA 6 Gb/s,N,,,,
17517,1000,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17518,2000,0.15,SSD,,M.2-2280,M.2 (M),Y,,,,
17519,4000,0.225,SSD,,M.2-2280,M.2 (M),Y,,,,
17520,500,0.2,SSD,,M.2-2280,M.2 (M),Y,,,,
17521,1000,0.081,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17522,2000,0.042,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17523,1000,0.16,SSD,2048,M.2-2280,M.2 (M),Y,,,,
17524,240,0.138,SSD,,M.2-2280,M.2 (B+M),N,,,,
17525,1000,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17526,500,0.28,SSD,512,M.2-2280,M.2 (M),Y,,,,
17527,256,0.109,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17528,1000,0.19,SSD,,M.2-2280,M.2 (M),Y,,,,
17529,2000,0.109,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17530,1000,0.078,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17531,2000,0.093,SSD,,M.2-2280,M.2 (M),Y,,,,
17532,250,0.253,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17533,8000,0.026,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17534,500,0.052,7200RPM,16,"3.5""",SATA 6 Gb/s,N,,,,
17535,240,0.112,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17536,1000,0.13,SSD,,M.2-2280,M.2 (M),Y,,,,
17537,1000,0.129,SSD,,M.2-2280,M.2 (M),Y,,,,
17538,4000,0.021,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17539,1000,0.033,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17540,4000,0.025,5400RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17541,250,0.432,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17542,8000,0.019,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17543,120,0.183,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17544,2000,0.15,SSD,,M.2-2280,M.2 (M),Y,,,,
17545,512,0.127,SSD,,M.2-2280,M.2 (M),Y,,,,
17546,1000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17547,2000,0.114,SSD,,M.2-2280,M.2 (M),Y,,,,
17548,256,0.137,SSD,,M.2-2280,M.2 (M),Y,,,,
17549,480,0.092,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17550,512,0.082,SSD,,M.2-2280,M.2 (M),Y,,,,
17551,1000,0.082,SSD,,M.2-2280,M.2 (M),Y,,,,
17552,2000,0.09,SSD,,M.2-2280,M.2 (M),Y,,,,
17553,500,0.11,SSD,,M.2-2280,M.2 (M),Y,,,,
17554,1000,0.095,SSD,,M.2-2280,M.2 (M),Y,,,,
17555,240,0.146,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17556,1000,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17557,250,0.22,SSD,,M.2-2280,M.2 (M),Y,,,,
17558,2000,0.115,SSD,,M.2-2280,M.2 (M),Y,,,,
17559,2000,0.65,SSD,2048,M.2-2280,M.2 (M),Y,3D V-NAND,,,
17560,250,0.183,SSD,,M.2-2280,M.2 (M),Y,,,,
17561,8000,,SSD,,PCI-E,PCIe x16,Y,,,,
17562,1000,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17563,1000,0.044,5400RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17564,500,0.046,7200RPM,16,"3.5""",SATA 6 Gb/s,N,,,,
17565,8000,0.019,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17566,1000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17567,500,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17568,1000,0.125,SSD,,M.2-2280,M.2 (M),Y,,,,
17569,4000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17570,250,0.16,SSD,256,"2.5""",SATA 6 Gb/s,N,,,,
17571,1000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17572,8000,0.027,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17573,3000,0.027,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17574,15360,0.163,SSD,,"2.5""",SAS 12 Gb/s,N,,,,
17575,4000,0.182,SSD,4096,"2.5""",SATA 6 Gb/s,N,,,,
17576,320,,5400RPM,8,"2.5""",SATA 6 Gb/s,N,,,,
17577,1000,0.086,SSD,,M.2-2280,M.2 (M),Y,,,,
17578,4000,0.022,5900RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17579,1000,,Hybrid,64,"2.5""",SATA 6 Gb/s,N,,8000 MB,,
17580,120,0.166,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17581,240,0.146,SSD,,M.2-2280,M.2 (B+M),N,,,,
17582,1000,0.087,SSD,,M.2-2280,M.2 (M),Y,,,,
17583,2000,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17584,6000,0.018,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17585,1000,0.13,SSD,,M.2-2280,M.2 (M),Y,,,,
17586,2000,0.025,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17587,500,,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17588,1000,0.16,SSD,,M.2-2280,M.2 (M),Y,,,,
17589,1000,0.037,7200RPM,64,"3.5""",SATA 3 Gb/s,N,,,,
17590,500,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17591,10000,0.032,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17592,128,0.211,SSD,,M.2-2280,M.2 (M),Y,,,,
17593,128,0.164,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17594,512,0.09,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17595,2000,0.21,SSD,,M.2-2280,M.2 (M),Y,,,,
17596,250,0.4,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17597,1000,0.21,SSD,,M.2-2280,M.2 (M),Y,,,,
17598,256,0.125,SSD,,M.2-2280,M.2 (B+M),N,,,,
17599,1000,0.17,SSD,,M.2-2280,M.2 (M),Y,,,,
17600,2000,0.129,SSD,,M.2-2280,M.2 (M),Y,,,,
17601,2000,,5400RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17602,960,0.089,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17603,1000,0.084,SSD,,M.2-2280,M.2 (B+M),N,,,,
17604,1000,0.052,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17605,2048,0.105,SSD,,M.2-2280,M.2 (M),Y,,,,
17606,250,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17607,1000,0.133,SSD,,M.2-2280,M.2 (M),Y,,,,
17608,1000,0.269,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17609,6000,0.032,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17610,1000,0.105,SSD,,M.2-2280,M.2 (M),Y,,,,
17611,2000,0.09,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17612,2000,0.105,SSD,2048,"2.5""",SATA 6 Gb/s,N,,,,
17613,18000,0.032,7200RPM,512,"3.5""",SATA 6 Gb/s,N,,,,
17614,250,0.164,SSD,,M.2-2280,M.2 (B+M),N,,,,
17615,1000,0.061,7200RPM,128,"2.5""",SATA 6 Gb/s,N,,,,
17616,2000,0.185,SSD,,M.2-2280,M.2 (M),Y,,,,
17617,512,0.117,SSD,,M.2-2280,M.2 (M),Y,,,,
17618,240,0.125,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17619,120,0.275,SSD,,M.2-2280,M.2 (B+M),N,,,,
17620,2000,0.036,5400RPM,128,"2.5""",SATA 6 Gb/s,N,,,,
17621,2000,0.2,SSD,2048,M.2-2280,M.2 (M),Y,,,,
17622,1000,0.095,SSD,,M.2-2280,M.2 (M),Y,,,,
17623,1000,0.11,SSD,,M.2-2280,M.2 (M),Y,,,,
17624,2000,0.119,Hybrid,,"2.5""",SATA 6 Gb/s,N,,8192 MB,,
17625,240,0.204,SSD,,M.2-2280,M.2 (M),Y,,,,
17626,4000,0.097,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17627,250,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17628,1000,0.039,7200RPM,64,"2.5""",SATA 6 Gb/s,N,,,,
17629,120,0.224,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17630,240,0.154,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17631,4000,0.027,7200RPM,128,"3.5""",SATA 6 Gb/s,N,,,,
17632,512,0.098,SSD,,M.2-2280,M.2 (M),Y,,,,
17633,512,0.312,SSD,512,M.2-2280,M.2 (M),Y,,,,
17634,3000,,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17635,120,0.183,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17636,4000,0.144,SSD,,M.2-2280,M.2 (M),Y,,,,
17637,2000,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17638,240,0.158,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17639,250,0.164,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17640,500,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17641,320,0.049,5400RPM,8,"2.5""",SATA 3 Gb/s,N,,,,
17642,2000,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17643,500,0.11,SSD,,M.2-2280,M.2 (M),Y,,,,
17644,16000,0.029,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17645,2000,,SSD,2048,M.2-2280,M.2 (M),Y,,,,
17646,2000,1.312,SSD,,PCI-E,PCIe x4,N,,,,
17647,512,0.096,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17648,250,0.228,SSD,,M.2-2280,M.2 (M),Y,,,,
17649,1000,0.143,SSD,,M.2-2280,M.2 (M),Y,,,,
17650,256,0.137,SSD,,M.2-2280,M.2 (M),Y,,,,
17651,500,0.1,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17652,1000,0.102,SSD,,M.2-2280,M.2 (M),Y,,,,
17653,500,0.094,SSD,,M.2-2280,M.2 (M),Y,,,,
17654,2000,0.125,SSD,,M.2-2280,M.2 (M),Y,,,,
17655,1000,0.048,7200RPM,32,"3.5""",SATA 6 Gb/s,N,,,,
17656,500,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17657,500,0.108,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17658,1000,0.078,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17659,512,0.117,SSD,,M.2-2280,M.2 (M),Y,,,,
17660,1000,0.189,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17661,960,0.082,SSD,,M.2-2280,M.2 (M),Y,,,,
17662,250,0.352,SSD,512,M.2-2280,M.2 (M),Y,3D V-NAND TLC,,,
17663,10000,0.029,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17664,1550,0.226,SSD,131072,M.2-2280,M.2 (M),Y,,,,
17665,5000,0.03,5400RPM,128,"2.5""",SATA 6 Gb/s,N,,,,
17666,1000,0.095,SSD,,M.2-2280,M.2 (M),Y,,,,
17667,4000,,SSD,4096,"2.5""",SATA 6 Gb/s,N,,,,
17668,1000,0.249,SSD,,PCI-E,PCIe x4,Y,,,,
17669,1000,0.127,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17670,500,0.17,SSD,512,M.2-2280,M.2 (B+M),N,,,,
17671,240,0.125,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17672,500,0.147,SSD,,M.2-2280,M.2 (M),Y,,,,
17673,1000,0.136,SSD,1024,M.2-2280,M.2 (B+M),N,,,,
17674,256,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17675,4000,0.017,5900RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17676,10000,0.031,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17677,512,0.098,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17678,128,0.195,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17679,1000,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17680,512,0.092,SSD,,M.2-2280,M.2 (M),Y,,,,
17681,500,0.2,SSD,,M.2-2280,M.2 (M),Y,,,,
17682,1000,0.065,7200RPM,64,"2.5""",SATA 6 Gb/s,N,,,,
17683,2000,0.132,SSD,,M.2-2280,M.2 (M),Y,,,,
17684,120,0.175,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17685,1000,0.12,SSD,,M.2-2280,M.2 (M),Y,,,,
17686,6000,0.033,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17687,1000,0.124,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17688,3000,0.023,5400RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17689,1000,0.114,SSD,,M.2-2280,M.2 (M),Y,,,,
17690,128,0.219,SSD,,M.2-2280,M.2 (M),Y,,,,
17691,4000,0.162,SSD,,M.2-2280,M.2 (M),Y,,,,
17692,2000,0.16,SSD,,M.2-2280,M.2 (M),Y,,,,
17693,2000,0.09,SSD,,M.2-2280,M.2 (M),Y,,,,
17694,1000,0.057,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17695,256,0.195,SSD,,M.2-2280,M.2 (M),Y,,,,
17696,500,0.236,SSD,512,M.2-2280,M.2 (M),Y,,,,
17697,480,0.153,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17698,4000,0.024,5400RPM,128,"3.5""",SATA 6 Gb/s,N,,,,
17699,500,0.17,SSD,,M.2-2280,M.2 (M),Y,,,,
17700,2000,0.043,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17701,1000,0.113,SSD,,M.2-2280,M.2 (M),Y,,,,
17702,256,0.293,SSD,512,"2.5""",SATA 6 Gb/s,N,,,,
17703,2000,0.095,SSD,,M.2-2280,M.2 (M),Y,,,,
17704,256,0.137,SSD,,M.2-2280,M.2 (M),Y,,,,
17705,1000,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17706,256,0.195,SSD,512,M.2-2280,M.2 (M),Y,,,,
17707,128,0.226,SSD,,M.2-2280,M.2 (M),Y,,,,
17708,8000,0.026,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17709,500,0.108,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17710,1000,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17711,1000,0.043,5400RPM,128,"2.5""",SATA 6 Gb/s,N,,,,
17712,4000,0.122,SSD,,M.2-2280,M.2 (M),Y,,,,
17713,512,0.137,SSD,512,M.2-2280,M.2 (M),Y,,,,
17714,14000,0.021,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17715,2000,0.175,SSD,,M.2-2280,M.2 (M),Y,,,,
17716,8000,0.129,SSD,,M.2-2280,M.2 (M),Y,,,,
17717,1000,0.105,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17718,2000,0.105,SSD,,M.2-2280,M.2 (M),Y,,,,
17719,512,0.107,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17720,4000,0.15,SSD,,M.2-2280,M.2 (M),Y,,,,
17721,120,0.489,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17722,128,0.249,SSD,,M.2-2280,M.2 (M),Y,,,,
17723,256,0.137,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17724,480,0.146,SSD,,M.2-2280,M.2 (M),Y,,,,
17725,8000,0.034,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17726,16000,0.028,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17727,500,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17728,1000,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17729,480,0.1,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17730,1000,0.04,10000RPM,64,"2.5""",SATA 6 Gb/s,N,,,,
17731,512,0.133,SSD,,M.2-2280,M.2 (M),Y,,,,
17732,120,0.183,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17733,1000,0.23,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17734,1000,0.087,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17735,512,0.124,SSD,,M.2-2280,M.2 (M),Y,,,,
17736,1000,0.137,SSD,,M.2-2280,M.2 (M),Y,,,,
17737,512,0.098,SSD,,M.2-2280,M.2 (B+M),N,,,,
17738,240,0.117,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17739,4000,0.031,7200RPM,128,"3.5""",SATA 6 Gb/s,N,,,,
17740,1000,0.15,SSD,,M.2-2280,M.2 (M),Y,,,,
17741,4000,0.035,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17742,1000,0.04,5400RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17743,10000,0.021,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17744,500,0.19,SSD,,M.2-2280,M.2 (M),Y,,,,
17745,4000,0.235,SSD,,M.2-2280,M.2 (M),Y,,,,
17746,500,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17747,2000,0.058,Hybrid,64,"3.5""",SATA 6 Gb/s,N,,8000 MB,,
17748,500,0.07,5400RPM,32,"3.5""",SATA 6 Gb/s,N,,,,
17749,2000,0.185,SSD,,M.2-2280,M.2 (M),Y,,,,
17750,1200,2.074,SSD,,PCI-E,PCIe x4,N,,,,
17751,240,0.167,SSD,,M.2-2280,M.2 (M),Y,,,,
17752,500,,SSD,512,M.2-2280,M.2 (M),Y,3D V-NAND TLC,,,
17753,1000,0.093,SSD,,M.2-2280,M.2 (M),Y,,,,
17754,6000,0.022,5400RPM,128,"3.5""",SATA 6 Gb/s,N,,,,
17755,480,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17756,2000,0.672,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17757,1000,0.138,SSD,,M.2-2280,M.2 (M),Y,,,,
17758,250,0.26,SSD,512,M.2-2280,M.2 (B+M),N,,,,
17759,256,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17760,1000,0.121,Hybrid,,"2.5""",SATA 6 Gb/s,N,,8192 MB,,
17761,4000,0.112,SSD,,M.2-2280,M.2 (M),Y,,,,
17762,512,0.121,SSD,,M.2-2280,M.2 (M),Y,,,,
17763,1000,0.083,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17764,1000,0.2,SSD,1024,M.2-2280,M.2 (M),Y,,,,
17765,2000,0.026,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17766,512,0.103,SSD,,M.2-2280,M.2 (M),Y,,,,
17767,2000,0.165,SSD,,M.2-2280,M.2 (M),Y,,,,
17768,1000,0.12,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17769,2000,,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17770,12000,0.079,7200RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17771,240,0.125,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17772,512,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17773,3000,0.035,7200RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17774,1000,0.149,SSD,,M.2-2280,M.2 (M),Y,,,,
17775,2000,0.19,SSD,2048,"2.5""",SATA 6 Gb/s,N,,,,
17776,512,0.082,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17777,2000,0.18,SSD,,M.2-2280,M.2 (M),Y,,,,
17778,250,,SSD,512,M.2-2280,M.2 (M),Y,,,,
17779,1000,0.085,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17780,1000,,5900RPM,64,"3.5""",SATA 6 Gb/s,N,,,,
17781,1000,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17782,6000,0.023,5400RPM,256,"3.5""",SATA 6 Gb/s,N,,,,
17783,2000,0.087,SSD,,M.2-2280,M.2 (M),Y,,,,
17784,1000,0.083,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17785,2000,0.125,SSD,2048,M.2-2280,M.2 (B+M),N,,,,
17786,1000,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17787,256,0.148,SSD,,M.2-2280,M.2 (M),Y,,,,
17788,1000,0.13,SSD,,M.2-2280,M.2 (M),Y,,,,
17789,1000,0.145,SSD,,M.2-2280,M.2 (M),Y,,,,
17790,1000,0.2,SSD,1024,"2.5""",SATA 6 Gb/s,N,,,,
17791,480,0.12,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17792,1000,0.095,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17793,500,0.14,SSD,,M.2-2280,M.2 (M),Y,,,,
17794,250,0.22,SSD,,M.2-2280,M.2 (M),Y,,,,
17795,4000,0.039,5400RPM,128,"2.5""",SATA 6 Gb/s,N,,,,
17796,8000,0.127,7200RPM,128,"3.5""",SATA 6 Gb/s,N,,,,
17797,1000,0.09,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17798,480,0.096,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17799,250,0.172,SSD,,M.2-2280,M.2 (M),Y,,,,
17800,2000,0.11,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17801,256,0.113,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
17802,2000,0.165,SSD,,M.2-2280,M.2 (M),Y,,,,
17803,2000,0.1,SSD,,M.2-2280,M.2 (M),Y,,,,
17804,500,0.22,SSD,,M.2-2280,M.2 (M),Y,,,,
17805,2000,0.105,SSD,,M.2-2280,M.2 (M),Y,,,,
17806,960,0.141,SSD,,M.2-2280,M.2 (M),Y,,,,
17807,250,0.192,SSD,,M.2-2280,M.2 (M),Y,,,,
17808,500,0.13,SSD,,M.2-2280,M.2 (M),Y,,,,
17809,1000,0.095,SSD,,"2.5""",SATA 6 Gb/s,N,,,,
